Page ID,Page name,Disclaimer,Amount spent (PLN)
314299585704,PAT&RUB,Ecoidea Sp z oo Sp.k.,409
107758219306090,OLX Polska,OLX Polska,305
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,219
57544755889,Amnesty International Polska,Amnesty International Polska,141
196334343778888,Polskie Centrum Pomocy Międzynarodowej (PCPM),PCPM with Facebook ad credits,132
654912251187357,Grupa PGE,Grupa PGE,126
469702339755768,Paweł Tanajno Polska Liberalna Strajk Przedsiębiorców,Iam4u.pl,108
339855706171439,Dobra Fabryka,Dobra Fabryka,104
228168274881,wysokieobcasy,wysokieobcasy,≤100
178362315106,European Parliament,European Parliament,≤100
513969188677442,Compassion Polska,Compassion Polska,≤100
295161506338,AKADEMIA PRZYSZŁOŚCI,Stowarzyszenie Wiosna,≤100
102792325966064,Kopalnia kitu,Kopalnia Kitu (DoubleD Marketing),≤100
393084100793680,Wiedza i Praktyka,Wiedza i Praktyka,≤100
385532321805330,Pomorskie,Pomorskie,≤100
426784938154184,PrzyjacieleZwierzat.pl,PrzyjacieleZwierzat.pl,≤100
104884392877324,Alivia,Alivia - Fundacja Onkologiczna,≤100
142218132483199,Kasa Stefczyka,Kasa Stefczyka,≤100
273827962690526,Otwarte Klatki,Otwarte Klatki,≤100
111465470197991,Mateusz Morawiecki,Mateusz Morawiecki,≤100
50063176484,TVN24,TVN,≤100
1227194230675141,Pratia,Pratia SA,≤100
95661128574,Radio ESKA,Radio ESKA,≤100
1683534065241470,OKO.press,OKO.press,≤100
406758116099067,Fundacja Kasisi,Fundacja Kasisi,≤100
114265080356649,EuroKlima - Energy,EuroKlima Energy,≤100
178415208919146,Solidarna Polska,Solidarna Polska,≤100
475584852475176,Pozytron,Bartłomiej Jan Ginter,≤100
1181684038602267,Niepodległa,"BIURO PROGRAMU ""NIEPODLEGŁA""",≤100
358733307479097,Mateusz Skarbek - Wiceprzewodniczący Rady Miasta Gdańska,Mateusz Skarbek,≤100
113143203693,Santander Bank Polska,Santander Bank Polska,≤100
54779960819,United Nations,United Nations with Facebook Ad Credits,≤100
362682677158537,Michał Kowalski,Michał Kowalski - materiał nie stanowi elementu kampanii wyborczej,≤100
180185019111,Tygodnik Powszechny,Tygodnik Powszechny,≤100
133482470024453,Newsweek Polska,Newsweek Polska,≤100
173086948664,Infor.pl,Infor.pl,≤100
143951191449,Profinfo.pl,Wolters Kluwer PL,≤100
520444618035778,Grupa EPL w Parlamencie Europejskim,EPP Group in the European Parliament,≤100
312204349288060,Mariusz Gosek,Mariusz Gosek,≤100
427646927347438,A4 Katowice - Kraków,Stalexport Autostrada Małopolska S.A.,≤100
104921858016507,Dzień Dobry Podatki,Michał Wilk,≤100
101675159101680,Kurier Powiatu Kościerskiego,Michał Kowalski,≤100
300745193630,Fundacja Pro - Prawo do Życia,Fundacja Pro - Prawo do Życia,≤100
103400032276622,Kurier Gdyński,Michał Kowalski,≤100
253909884588,Centrum Nauki Experyment,Centrum Nauki EXPERYMENT,≤100
198196133533089,Polska Misja Medyczna / Polish Medical Mission,Polska Misja Medyczna / Polish Medical Mission,≤100
1382783485324942,San Miguel,These ads ran without a disclaimer,≤100
109218848183780,Marek Woźniak,UMWW,≤100
1477251852486946,Kosma Złotowski,Grupa Europejskich Konserwatystów i Reformatorów,≤100
207398195946921,Instytut Spraw Obywatelskich,Fundacja Instytut Spraw Obywatelskich,≤100
112055027022643,Legal Marine,Legal Marine - Mateusz Romowicz,≤100
1581518611867021,Zbigniew Ziobro,Zbigniew Ziobro,≤100
106708966025605,Wydawnictwo W.A.B.,Grupa Wydawnicza Foksal,≤100
157458232131,Prawo i Sprawiedliwość,Prawo i Sprawiedliwość,≤100
1381575975475340,EduAkcja - szkolenia dla nauczycieli,EduAkcja sp. z o.o.,≤100
145481822175715,Otodom,Grupa OLX sp. z o.o.,≤100
267686749910602,Piotr Müller,Piotr Müller - Poseł na Sejm RP,≤100
103605865101957,Natalia Pobłocka - Radna Miasta Sopotu,Jacek Pobłocki,≤100
105629772798008,Kraków PL,Kraków PL,≤100
109363441951213,Forum Obywateli Wejherowa,Borys Szymański,≤100
125185964281959,Centrum Edukacji Obywatelskiej (CEO),Centrum Edukacji Obywatelskiej (CEO),≤100
140754135942752,Fundacja Court Watch Polska,Fundacja Court Watch Polska,≤100
102358112377085,Kurier Powiatu Bytowskiego,Michał Kowalski,≤100
137358556439286,Ośrodek Monitorowania Zachowań Rasistowskich i Ksenofobicznych,Ośrodek Monitorowania Zachowań Rasistowskich i Ksenofobicznych,≤100
100507332348221,Liberfor,Liberfor,≤100
1480666378855628,Agnieszka Owczarczak - Przewodnicząca Rady Miasta Gdańska,Agnieszka Maria Owczarczak,≤100
106178725315378,Kurier Powiatu Lęborskiego,Michał Kowalski,≤100
444844953009780,NaszePomorskie,Michał Kowalski,≤100
109649700417909,Piotr Sak,Poseł na Sejm RP Piotr Sak,≤100
106035928645639,Kurier Powiatu Kartuskiego,Michał Kowalski,≤100
2320275388297228,Marcin Romanowski,Marcin Romanowski,≤100
102992492312736,Kurier Powiatu Chojnickiego,Michał Kowalski,≤100
106960415216571,Kurier Powiatu Wejherowskiego,Michał Kowalski,≤100
108778518742588,Wspólnie/Спільно Sopot,Gmina Miasta Sopotu,≤100
742465142594294,Dan Cake Robimy Klimat,Dan Cake Polonia Sp. z o.o.,≤100
662892093824152,Fundacja Małych Stópek,Fundacja Małych Stópek,≤100
111778487054045,TOGETAIR,Kamil Magot,≤100
147547541961576,Council of the European Union,Council of the European Union,≤100
114453729684,gazetaprawna.pl,gazetaprawna.pl,≤100
101081072895184,Climate Classic Poland,These ads ran without a disclaimer,≤100
1496359750659795,Michał Wójcik,Michał Wójcik,≤100
312816688890250,Dariusz Matecki,Dariusz Matecki Radny Miasta Szczecin,≤100
141049865933925,Katolicka Agencja Informacyjna / KAI,Katolicka Agencja Informacyjna,≤100
186543124707583,ISSA Prevent Plastic Pollution,Biuro wykonawcze ISSA w Polsce,≤100
311278685609822,Fundacja Centaurus,Fundacja Centaurus,≤100
104189735684944,Fritscherree,These ads ran without a disclaimer,≤100
104837752301593,E-Ślub,These ads ran without a disclaimer,≤100
108494929216934,Marcin Kierwiński,Marcin Kierwiński,≤100
102370742369604,Kurier Powiatu Człuchowskiego,Michał Kowalski,≤100
1425264934431305,Polski Instytut Księgowości,Polski Instytut Księgowości,≤100
160889577598637,Prawo i Sprawiedliwość Pomorskie,Michał Kowalski,≤100
134626909042,Stowarzyszenie Inwestorów Indywidualnych,Stowarzyszenie Inwestorów Indywidualnych,≤100
122436147816214,Skłodowscy.pl,Kancelaria Podatkowa Skłodowscy,≤100
505864632777215,Tygodnik Lisickiego,Orle Pióro sp. z o.o.,≤100
328190797653238,Fundacja Alberta Schweitzera,Fundacja Alberta Schweitzera,≤100
330644215221,Bankier.pl,Bankier.pl,≤100
255100403945,Polityka,Polityka,≤100
514735281965536,Demagog,Demagog,≤100
2652652818292489,DAGMA bezpieczeństwo it,DAGMA SP Z O O,≤100
194585893914848,Fundacja Rozwoju Demokracji Lokalnej,Cezary Trutkowski,≤100
316810098501611,Miasto2077 / Green is Good,Filip Kowalik,≤100
814991668621838,Norbert Kaczmarczyk,Norbert Kaczmarczyk,≤100
106666447371322,Edward Siarka,Edward Siarka,≤100
118055394941878,ABB,Performance Media P.S.A,≤100
121677374580121,Stowarzyszenie Rozwoju Wsi Świętokrzyskiej,Stowarzyszenie Rozwoju Wsi Świętokrzyskiej,≤100
100322482820024,Opakowanie w sam raz,These ads ran without a disclaimer,≤100
832320483579139,Vestra,Vestra,≤100
157186140963158,Green Parrot,Evergreen_Group sp. z o.o. sp.k.,≤100
103355271818004,Ubezpieczenia Effekt,Effekt Sp. z o.o.,≤100
205945942802470,Polska Agencja Rozwoju Przedsiębiorczości,Polska Agencja Rozwoju Przedsiębiorczości,≤100
1944269485866179,Bread of Life Polska,Slawomir Tadeusz Jankowski,≤100
170894632966683,Warszawski Instytut Bankowości,Sektorowa Rada ds. Kompetencji Sektora Finansowego,≤100
129626970836,inFakt,inFakt,≤100
1608898765820336,Vogue Polska,Vogue Polska,≤100
250387950908,Tygodnik Solidarność,Tygodnik Solidarność,≤100
153679474688551,Wydawnictwo Fronda,Wydawnictwo Fronda,≤100
107265068092174,Onet Premium,Ringier Axel Springer Polska,≤100
490207317852864,Obserwatorium Polityki Miejskiej IRMiR,Instytut Rozwoju Miast i Regionów,≤100
130752780291804,Fundacja Geremka,"Fundacja ""Centrum im. prof. Bronisława Geremka""",≤100
160181130796814,Fundacja ADRA Polska - ADRA Poland,Fundacja ADRA Polska,≤100
104178558968972,Marcin Przydacz - wiceminister spraw zagranicznych,Marcin Przydacz,≤100
100120136068412,Reo.pl - platforma handlu energią z OZE,Reo.pl Sp. z o.o.,≤100
621959344553367,DNA Rynków - merytorycznie o giełdach i gospodarkach,DNA Rynków,≤100
101075578169819,Ewa Wendrowska,Ewa Wendrowska,≤100
104981480987476,Bartłomiej Milaniuk - Dla Twoich Finansów,Bartłomiej Adrian Milaniuk,≤100
74863922834,Krytyka Polityczna,Krytyka Polityczna,≤100
105428171456904,BWT Polska - Best Water Technology,BWT Polska,≤100
382875260304,Teologia Polityczna,Teologia Polityczna,≤100
163488137165461,E.ON Polska,E.ON Polska,≤100
447190942074880,Polskie Stowarzyszenie Obrońców Życia Człowieka,Polskie Stowarzyszenie Obrońców Życia Człowieka,≤100
109835928458990,Marian Cichon - Starosta Powiatu Gdańskiego,Marian Cichon - Starosta Powiatu Gdańskiego,≤100
107396187476330,LUX MED Stomatologia,"LUX MED Sp. z o.o.,",≤100
439078939594479,Hawle Polska,These ads ran without a disclaimer,≤100
1629946500626448,To Tylko Astma,OS3 Sp. z o.o.,≤100
112138653688303,Marcin Brodalski,Marcin Brodalski,≤100
116306928531810,Zbigniew Szczerba Radny Miasta Zakopane,Zbigniew Piotr Szczerba,≤100
108841281923060,Płać Niskie Podatki,Adam Stachowiak,≤100
173873282095,Forsal.pl,Forsal.pl,≤100
371359310400318,Janusz Kowalski,Janusz Kowalski,≤100
103189994608689,20stopni.pl,Konceptlab,≤100
108043501064374,Dzielna Ania walczy z SMA,Michał Franciszek Orłowski,≤100
105039892358886,Świadczenie Pielęgnacyjne,FURPO GROUP SP. Z O.O.,≤100
104341728185251,Paszporty Polityki,Polityka Sp. z .o.o. SKA,≤100
1752318511650368,Akamai Poland,More Bananas,≤100
173043619501435,"Pomorski Ośrodek Rehabilitacji Dzikich Zwierząt ""Ostoja""","Pomorski Ośrodek Rehabilitacji Dzikich Zwierząt ""Ostoja""",≤100
829389740746733,"Ekover - Pompy ciepła, Fotowoltaika, Magazyny Energii - Sępólno Krajeńskie",These ads ran without a disclaimer,≤100
199877710116314,Patryk Jaki,Patryk Jaki,≤100
358712600898007,Ogólnopolska Federacja na rzecz Rozwiązywania Problemu Bezdomności,Jakub Stanisław Wilczek,≤100
698495676960463,Błażej Poboży,Błażej Poboży,≤100
109719194540240,Fundacja Błękitna,Fundacja Błękitna,≤100
106972071827284,II Kongres ESG,Fundacja im. XBW Ignacego Krasickiego,≤100
163064650412661,Teatr Powszechny w Łodzi,Teatr Powszechny w Łodzi,≤100
