Page ID,Page name,Disclaimer,Amount spent (CAD)
16761458703,University of British Columbia,The University of British Columbia,2613
103805636333615,Quality Canadian Milk - Lait canadien de qualité,Dairy Farmers of Canada,1672
154462904588700,Enbridge Gas,Enbridge Gas,1450
230448456985193,Elections Ontario,Elections Ontario,1440
632493333805962,Environment and Climate Change,Environment and Climate Change Canada,1264
113297740077607,Canadian Energy Centre,Canadian Energy Centre,1045
109045051805492,Made The Canadian Way,Canadian Energy Centre,974
160136850711053,CUPE Ontario,CUPE Ontario,765
1583430205202800,City of Toronto,City of Toronto - Your Local Government,756
139019864276,Oxfam Canada,Oxfam Canada,495
115835521825983,UNHCR Canada,UNHCR Canada,493
163261390365324,Elementary Educators,Elementary Educators,491
146592973368,Sunnybrook Health Sciences Centre,Sunnybrook Foundation,436
107385241806,Plan International Canada,Plan International Canada,431
90032605269,UHN Foundation,UHN Foundation,423
180862678644381,Ontario NDP,Ontario NDP,402
163336718421,PSAC - AFPC,PSAC - AFPC,395
127923173900910,Ontario Federation of Agriculture,Ontario Federation of Agriculture,388
1562700347383830,Chef Craig Wong,Ivy Lam,355
197337921788,Dying With Dignity Canada,Dying With Dignity Canada,316
181701075182303,Crohn's and Colitis Canada,Crohn's and Colitis Canada,315
394745970602999,The Council of Canadians,The Council of Canadians,286
633812813408377,Elections Canada,Elections Canada,277
1097840090260804,National Police Federation,National Police Federation,263
6095483909,Canadian Taxpayers Federation,Canadian Taxpayers Federation,235
105168452865235,Bell Aliant,Bell,228
114849617772737,Care2 Canada,Press Pause Collective,215
104386908631938,Pathways Alliance,Pathways Alliance,210
5661704203,Conservative Party of Canada - Parti conservateur du Canada,Conservative Party of Canada - Parti conservateur du Canada,208
195227957225519,Dairy Farmers of Canada,Dairy Farmers of Canada,178
172424676165115,Canadian Alliance to End Homelessness,Canadian Alliance to End Homelessness,177
108441375489438,Pete Wiesner,Hamilton Centre PC Riding Association,176
27234020592,UNICEF Canada,UNICEF Canada,170
190502667652613,Canada’s NDP / Le NPD du Canada,Canada’s NDP / Le NPD du Canada,153
184856436064,Canadian Centre for Child Protection,Canadian Centre for Child Protection,146
196322807083503,OECTA - Ontario English Catholic Teachers Association,OECTA - Ontario English Catholic Teachers Association,144
6319213302,Heart & Stroke,Heart & Stroke,127
5777333398,Canada Strong and Free Network,Canada Strong and Free Network,126
