Page ID,Page name,Disclaimer,Amount spent (BAM)
482158128556799,Žurnal magazin,Centar za razvoj medija i analize,≤100
1570886583203959,Poslovni portal Capital.ba,Capital Media,≤100
1922268018023038,Raskrinkavanje,UG Zašto ne,≤100
102667249419191,GenChange,Arijana Trle,≤100
197596636939679,tacno.net,Tacno.net,≤100
111544041335161,Antikorupcija info,Antikorupcija info,≤100
110760128594320,Muhamed Hasanović,Muhamed Hasanovic,≤100
100172476278127,Easy Study,These ads ran without a disclaimer,≤100
111544041335161,Antikorupcija info,Antikorupcija.info,≤100
332950850203871,Драшко Станивуковић - Draško Stanivuković,Драшко Станивуковић,≤100
147315858633088,Istinomjer,Istinomjer,≤100
109652028193268,Revizije info,Revizije info,≤100
2401351939921390,Raport.ba,Raport Media Group,≤100
104992122558073,Valter.Portal,Valter.Portal,≤100
120481645203741,Dragan Bursać,Dragan Bursać,≤100
106759774541544,PratimoTendere.ba,Centar za razvoj medija i analize,≤100
