Page ID,Page name,Disclaimer,Amount spent (SEK)
371791194529,Världsnaturfonden WWF,Världsnaturfonden WWF,6624
608975645850217,Vattenfall,Vattenfall Sverige,5298
151159271594797,Systembolaget,Systembolaget,4910
122854408319,Hjärt-Lungfonden,Hjärt-Lungfonden,3610
126567104406,Hyresgästföreningen,Hyresgästföreningen,3013
161213770567846,Operation Smile Sverige,Operation Smile Sverige,2593
643137272398136,Sverige för UNHCR,Sverige för UNHCR,2049
369582590803,Dagens ETC,ETC-tidningarna,1881
111630258867610,Röda Korset,Röda Korset,1583
59324455950,UNICEF Sverige,UNICEF Sverige,1562
95735961890,Greenpeace Sverige,Greenpeace Sverige,1339
68115370786,Läkare Utan Gränser (MSF),Läkare Utan Gränser/ Médecins sans Frontières (MSF Sweden),1321
133681391993,Socialdemokraterna i Göteborg,Socialdemokraterna i Göteborg,1221
382243262003,Plan International Sverige,Plan International Sverige,1077
150057951690751,OKQ8,OKQ8,999
109886133732943,RESCUE - Sverige,RESCUE - Sverige,949
114262485262083,Konsumentverket,Konsumentverket,931
239177706143268,Mobility Sweden,Mobility Sweden,874
203547006337155,Göteborgs Stadsmission,Göteborgs Stadsmission,800
162985227114132,Skellefteå Kraft,Skellefteå Kraft,687
72659261793,Rädda Barnen,Rädda Barnen,670
18880778360,ActionAid Sweden,ActionAid Sweden,621
19746853632,Djurens Rätt,Djurens Rätt,600
130927360876045,Tidningen Näringslivet,Tidningen Näringslivet,560
2337692372925538,Reformisterna,Reformisterna,530
299065246064,"Seko, Service- och kommunikationsfacket","Seko, Service- och kommunikationsfacket",527
186513678039755,Fortum,Fortum Sverige,495
101341883359561,Matsmart Sverige,Matsmart,475
133867976608,Naturskyddsföreningen,Naturskyddsföreningen,464
118090278221826,Erikshjälpen,Erikshjälpen,447
122291934457124,Handelshögskolan vid Göteborgs universitet,Handelshögskolan vid Göteborgs universitet,427
157164123601,Trafikverket,These ads ran without a disclaimer,424
387421644643053,Hyresgästföreningen BohusÄlvsborg-Skaraborg,Hyresgästföreningen BohusÄlvsborg-Skaraborg,385
90882504375,Svenskt Näringsliv,Svenskt Näringsliv,372
440459709390224,Hitachi Energy,KSMG,368
117109165023455,Nordnet,Nordnet Bank AB,333
188616781161573,World Animal Protection Sverige,World Animal Protection Sverige,308
314872662206,Ekonomifakta,Ekonomifakta,299
293678655099,Europaparlamentets kontor i Sverige,Europaparlamentets kontor i Sverige,288
24574889995,Charlie Weimers MEP,Charlie Weimers MEP,284
153028052500,Kvinna till Kvinna,Stiftelsen Kvinna till Kvinna,274
107898832590939,European Commission,European Commission,260
12690894340,Centerpartiet,Centerpartiet,255
237146235237,Timbro,Tankesmedjan Timbro,250
271560012882635,Svenskt Näringsliv Västra Götaland,Svenskt Näringsliv Västra Götaland,235
128452220525979,CIVIL RIGHTS DEFENDERS,CIVIL RIGHTS DEFENDERS,225
42676805259,Diakonia,Diakonia,217
175873745789190,Vänsterpartiet Göteborg,Vänsterpartiet Göteborg,216
111912817167925,Samtidigt i Sverige,Aktuellt i Politiken,209
276108117859,Svenska Afghanistankommittén,Svenska Afghanistankommittén,202
8040892957,Socialdemokraterna,Socialdemokraterna,195
153270724787,Amnesty International Sverige,Amnesty International Sverige,192
655758061134956,Erikshjälpen Second Hand Borås,Caritha Felizia Michaela L Hilldén,189
175843834306,WaterAid Sverige,WaterAid Sverige,177
