Page ID,Page name,Disclaimer,Amount spent (GTQ)
167924689961661,Unidad Nacional de la Esperanza,Unidad Nacional de la Esperanza,103
414127029025760,CABAL,CABAL,≤100
142373979127061,Partido Unionista,Partido Unionista,≤100
161800283848513,CREO,CREO,≤100
110582257361172,Partido Azul,Partido Azul,≤100
110226594945647,Partido BIEN,Partido BIEN,≤100
196258110831945,Partido Valor,Partido Valor,≤100
436246383083297,TODOS,TODOS,≤100
109189810962889,Comunidad Elefante,Shorik Yann Mejia Blanco,≤100
100228912981471,PAN - Partido de Avanzada Nacional,PAN - Partido de Avanzada Nacional,≤100
104363285138486,Nosotros Guatemala,Partido Político Nosotros,≤100
268285610002238,FCN Nación,FCN Nación,≤100
102762215788405,VOS.gt,VOS.gt,≤100
116255971414800,Política Migración,Epifania Garcia,≤100
316637245932752,Expresión Libre,Expresión Libre,≤100
1552532851481889,Buckner Guatemala,Buckner Guatemala,≤100
100169482992019,Sebastián Arzú,Sebastián Arzú,≤100
101372268406640,Unión Republicana,Unión Republicana,≤100
107186558438030,GT Noticias Guate,GT Noticias Guate,≤100
111135201593853,Comdefensa Comité Defensa de Víctimas de Accidentes de Tránsito Norte GT,Comdefensa Comité Defensa de Víctimas de Accidentes de Tránsito Norte GT,≤100
101834689161496,Partido VALOR Chichicastenango,Partido VALOR Chichicastenango,≤100
101555919274873,Mi Familia,Mi Familia,≤100
142556265766634,Guatemala Visible,Guatemala Visible,≤100
333731437290922,La Critica Gt,La Critica Gt,≤100
103696968775786,Diestra La Revista,Epifania Garcia,≤100
100891681739204,Javier Carbajal,These ads ran without a disclaimer,≤100
104802371498661,Armando Paniagua,Armando Paniagua,≤100
104088575626269,Unidad Nacional de la Esperanza Xela,Unidad Nacional de la Esperanza Xela,≤100
101559144921198,Noticias San Pedro Sacatepéquez,Jennifer Lopez,≤100
101362805052535,Hola,These ads ran without a disclaimer,≤100
546030959209093,Desafio Tv,Desafio Tv,≤100
189460705168518,IDCOM,These ads ran without a disclaimer,≤100
110198674046882,Noticias San Cristóbal Cucho,Jennifer Lopez,≤100
103979662614836,Lewis Logan-Podemos Escuintla,Jose Acner  Cano Canales,≤100
1465646276779035,Los Secretos Judíos,These ads ran without a disclaimer,≤100
281554395331686,República,"Republica GT, S.A.",≤100
106908785419555,Goberna Guatemala,Goberna,≤100
174740409237665,TSE Guatemala,These ads ran without a disclaimer,≤100
