Page ID,Page name,Disclaimer,Amount spent (ZAR)
178713262328364,DA KZN,Democratic Alliance,329
136956534616,Times LIVE,TimesLIVE,203
225941290782035,Parliament of the Republic of South Africa,Parliament of the Republic of South Africa,150
57206003848,Greenpeace Africa,Greenpeace Africa,133
6011868110,Democratic Alliance,Democratic Alliance,≤100
181204251979581,NEASA,National Employers' Association of South Africa,≤100
102516258668317,Siza Water,Fahim N Farzanah Dawood,≤100
195909420099,Solidariteit,Solidariteit,≤100
221117158020122,Iranti,Iranti,≤100
116657351312927,Pledge To Vote SA,Pledge to Vote,≤100
446648162438519,Thisisacumen,Acumen Media Management,≤100
187645864452,Vryheidsfront Plus / Freedom Front Plus,Vryheidsfront Plus / Freedom Front Plus,≤100
2145594122138312,Action Society,Action Society,≤100
379138726819,ACDP,African Christian Democratic Party,≤100
217696894929887,FW de Klerk Foundation,FW de Klerk Foundation,≤100
106172744063430,The Daily Friend,The Daily Friend,≤100
105758608971668,Free Speech Union South Africa,Free Speech Union South Africa,≤100
794336640617861,Cyril Ramaphosa Foundation,Cyril Ramaphosa Foundation,≤100
141100792595323,Community Chest Durban,Gordon Mc Donald,≤100
629021617133721,Judges Matter,Judges Matter,≤100
111455384155,Partners in Sexual Health,Hamlet Enrico Johannes,≤100
107169379305548,TLU SA,TLU SA,≤100
101484948519699,WestGate Migration,These ads ran without a disclaimer,≤100
102265308016316,Al Jama-ah,Al Jama-ah,≤100
614441158766955,Vote Dr Sipho P. Malapane 2024,Sipho Pienaar Malapane,≤100
109136451414156,Educate Don't Indoctrinate,Educate Don't Indocrinate,≤100
1770207119865540,Civics Academy ZA,Civics Academy ZA,≤100
103278761413963,Empowering SA,Empowering SA,≤100
165736836881428,GroundUp,GroundUp News NPC,≤100
1617753965111540,Oil and Gas World/Oil Sands Strong,These ads ran without a disclaimer,≤100
556266534498748,DS Smith,These ads ran without a disclaimer,≤100
120460525135389,Educational Partners International,These ads ran without a disclaimer,≤100
1352874084790500,Fresenius Kabi,These ads ran without a disclaimer,≤100
