Page ID,Page name,Disclaimer,Amount spent (BAM)
332950850203871,Драшко Станивуковић - Draško Stanivuković,Драшко Станивуковић,≤100
1922268018023038,Raskrinkavanje,UG Zašto ne,≤100
789735661383506,Fondacija Tadž - Stipendiranje budućih hafiza,Fondacija Tadž - Stipendiranje budućih hafiza,≤100
482158128556799,Žurnal magazin,Centar za razvoj medija i analize,≤100
109652028193268,Revizije info,Revizije info,≤100
143699145672946,Centri civilnih inicijativa (CCI),Centri civilnih inicijativa,≤100
111544041335161,Antikorupcija info,Antikorupcija info,≤100
111544041335161,Antikorupcija info,Antikorupcija.info,≤100
1494057107558990,Javna rasprava,Javna rasprava,≤100
326185650853734,Zukan Helez,OO SDP BiH Bugojno,≤100
120481645203741,Dragan Bursać,Dragan Bursać,≤100
263396107142816,Transparency International Bosna i Hercegovina,Transparency International in BiH,≤100
1676047195961611,Impuls,"Udruženje građana ""Impuls""",≤100
110760128594320,Muhamed Hasanović,Muhamed Hasanovic,≤100
1570886583203959,Poslovni portal Capital.ba,Capital Media,≤100
102437165128755,Anel Ibeljić,Anel Ibeljic,≤100
197596636939679,tacno.net,Tacno.net,≤100
106759774541544,PratimoTendere.ba,Centar za razvoj medija i analize,≤100
2401351939921390,Raport.ba,Raport Media Group,≤100
222968021092962,RTV Slon - Tuzla,RTV SLON,≤100
709560912457316,Analiziraj.ba,Udruženje Centar za analizu medija i politike,≤100
143699145672946,Centri civilnih inicijativa (CCI),Centri civilnih inicijativa (CCI),≤100
113902691579245,Amer Avdičević,Amer Avdičević,≤100
109774791831087,Славенко Ристић - лидер Републичке странке Српске,Filip Lučić,≤100
1607622842896752,interview.ba,Fondacija Infohuse,≤100
102343781660824,Ajdin Holjan,Ajdin Holjan,≤100
163080080447411,Републичка странка Српске,Filip Lučić,≤100
103088084884704,Fondacija Atelje za društvene promjene - ACT,Fondacija Atelje za društvene promjene - ACT,≤100
124306738411862,InfoRadar,Udruženje za medijski aktivizam (UMA),≤100
847305072075506,Град Бања Лука,Град Бања Лука,≤100
110105907522931,bento_de_espinoza,These ads ran without a disclaimer,≤100
85069283164,Admir Čavalić,Admir Čavalić,≤100
177694669315988,Nedeljko Ćorić,Недељко Ћорић,≤100
147315858633088,Istinomjer,Istinomjer,≤100
1894157260888813,Dr Vlado Đajić - Др Владо Ђајић,Vlado Đajić,≤100
105412905161989,Огњен Бодирога,Драгана Михајловић,≤100
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100
2148421271917226,Nedim Salihagić,Salihagić Nedim,≤100
522037684635166,MAHLE,These ads ran without a disclaimer,≤100
423765531046123,Luxury Lifestyle Awards,These ads ran without a disclaimer,≤100
103789762224168,Xender emmanuel the  Internet Analyst,These ads ran without a disclaimer,≤100
