Page ID,Page name,Disclaimer,Amount spent (CAD)
113246738704586,Northern Territories Federation of Labour,Northern Territories Federation of Labour,≤100
101866535989905,Feux TNO,Gouvernement des Territoires du Nord-Ouest,≤100
102519276560938,NWT Fire,Government of the Northwest Territories,≤100
168106993245736,Canada Post,Canada Post,≤100
6319213302,Heart & Stroke,Heart & Stroke,≤100
1097840090260804,National Police Federation,National Police Federation,≤100
263417217038472,Forest Products Association of Canada,Forest Products Association of Canada,≤100
103223222015913,Nowly,nowly,≤100
120346357701928,Mountain Memoirs,These ads ran without a disclaimer,≤100
27234020592,UNICEF Canada,UNICEF Canada,≤100
1631963700446342,CheckUpProject,Anthony Christian Romito,≤100
118040041222760,Juan Luis Garrido,Juan Luis Garrido,≤100
2118716751703898,Yellowknifer,Black Press Media,≤100
202220023130891,Bell Canada,Bell Canada,≤100
24235835555,Kids Help Phone,Kids Help Phone,≤100
171838976178751,Canadian Women's Foundation,Canadian Women's Foundation,≤100
121222984568561,Amnesty International Canada,Amnesty International Canada,≤100
281999881613,World Vision Canada,World Vision Canada,≤100
261752512263,Canadian Red Cross,Canadian Red Cross,≤100
26394435211,Canadian Cancer Society,Canadian Cancer Society,≤100
100999094747422,Land Needs Guardians,Land Needs Guardians,≤100
249042335139282,BDC,BDC,≤100
123235041462,The Fraser Institute,Fraser Institute,≤100
115835521825983,UNHCR Canada,UNHCR Canada,≤100
101898551911387,The Hub Canada,Hub Canada Media,≤100
189141609842,Ville de Gatineau,Ville de Gatineau,≤100
103655764654302,Indigenous Leadership Initiative,The Indigenous Leadership Initiative,≤100
112483398798217,Interval House,Interval House,≤100
168617319831578,Nature Canada,Nature Canada,≤100
1665089323732197,Tripping on Air,Ardra Leah Shephard,≤100
1522162571382952,Oceana Canada,Oceana Canada,≤100
658318450979357,Globe Content Studio,Globe Content Studio,≤100
1919973584883295,The Maple,The Maple,≤100
5661704203,Conservative Party of Canada - Parti conservateur du Canada,Conservative Party of Canada - Parti conservateur du Canada,≤100
1589839557920915,National Disability Credit Alliance,National Disability Credit Alliance,≤100
254245404682417,C.D. Howe Institute,C.D. Howe Institute,≤100
572892516092329,"Yvan Baker, MP","Yvan Baker, MP",≤100
169042736456594,All Out,ConnectAd,≤100
10633250963,Save the Children Canada,Save the Children Canada,≤100
208067655942289,Postes Canada,Canada Post,≤100
1538081313097606,"Lynn Gehl, PhD - Algonquin Anishinaabe-Ikwe","Lynn Gehl, PhD - Algonquin Anishinaabe-Ikwe",≤100
243795232247,Mennonite Central Committee - MCC,Mennonite Central Committee - MCC,≤100
180862678644381,Ontario NDP,Ontario NDP,≤100
53321777320,Coeur + AVC,Coeur + AVC,≤100
294859335392,University of New Brunswick,University of New Brunswick,≤100
103805636333615,Quality Canadian Milk - Lait canadien de qualité,Quality Canadian Milk - Lait canadien de qualité,≤100
186266941387011,BMO Financial Group,BMO Financial Group,≤100
6095483909,Canadian Taxpayers Federation,Canadian Taxpayers Federation,≤100
903577146395715,Toronto Centre,Toronto Centre,≤100
60266912006,Liberal Party of Canada | Parti libéral du Canada,Liberal Party of Canada | Parti libéral du Canada,≤100
126327177386014,Vancouver Asian Film Festival,These ads ran without a disclaimer,≤100
21751825648,Justin Trudeau,Liberal Party of Canada | Parti libéral du Canada,≤100
35715544220,Stand.earth,Stand.earth,≤100
133690159980514,Leadnow,Leadnow Society,≤100
111231197686977,The Breach,The Breach,≤100
107385241806,Plan International Canada,Plan International Canada,≤100
105754167560390,Ekō Canada,Ekō,≤100
177681485609462,Radio-Canada,Radio-Canada,≤100
190035081047277,International Fellowship of Christians and Jews of Canada,International Fellowship of Christians and Jews of Canada,≤100
114849617772737,Care2 Canada,Press Pause Collective,≤100
85291563763,ICNA Relief Canada,ICNA Relief Canada,≤100
5794733873,David Suzuki Foundation,David Suzuki Foundation,≤100
510183342342621,Bell MTS,Lavanya Rajaian,≤100
182629491891136,First Nations Health Authority,First Nations Health Authority,≤100
245539921469,Rick Hansen Foundation,Rick Hansen Foundation,≤100
19750184960,Greenpeace Canada,Greenpeace Canada,≤100
105288666168351,SOS Children's Villages Canada,SOS Children's Villages Canada,≤100
104592795876117,Voice Alberta,The Maverick me Foundation,≤100
107588675613544,Chilltv,Berris Karden,≤100
586362242026180,Radio-Canada OHdio,Radio-Canada,≤100
608578919186659,World Vision International,World Vision International,≤100
101263555813789,NorthernBeat News,Northbeat News,≤100
316302965122489,Clean Energy Canada,Clean Energy Canada,≤100
268823146480333,Fondation INCA,INCA,≤100
685839561442324,Tim S. Uppal,Tim S. Uppal,≤100
112183950454035,Feminine Riles,Feminine Riles,≤100
1401645180072600,Accessibility Advisory Committee,Accessibility Advisory Committee,≤100
101728722901422,Mark LeLiever for Mayor - Get Toronto Moving,Get Toronto Moving,≤100
105234855658630,Charles Ozzoude,Charles Chisom Ozzoude,≤100
106265291831309,Unite for Change,Unite for Change,≤100
39168823065,Sierra Club Canada Foundation,Sierra Club Canada Foundation,≤100
638391216643974,CodeBlue BC,CodeBlue BC,≤100
100904822517086,Non-trivial,These ads ran without a disclaimer,≤100
728747700517089,Michael Barrett,Michael Barrett,≤100
111404328067824,Friends of Land Use Planning,Friends of Land Use Planning,≤100
228440567251132,CPA Canada,These ads ran without a disclaimer,≤100
106764462731658,Honest Reporting Canada,Honest Reporting Canada,≤100
113297740077607,Canadian Energy Centre,Canadian Energy Centre,≤100
80851911931,Canadian Civil Liberties Association,Canadian Civil Liberties Association,≤100
869127933125944,Indigenous Link,Indigenous Link,≤100
1698373080245187,Safe Salmon: Defend our Wild Salmon,Watershed Watch Salmon Society,≤100
1601555680081592,Southern Chiefs' Organization,Southern Chiefs' Organization,≤100
1242717912408041,Stephanie Kusie,"the Office of Stephanie Kusie, MP",≤100
626733290777865,EcoCaledon,These ads ran without a disclaimer,≤100
116486331729420,350 Canada,350 Canada,≤100
104321259649840,CATIE,CATIE,≤100
184856436064,Canadian Centre for Child Protection,Canadian Centre for Child Protection,≤100
1968451243484787,Brad Redekopp MP,Brad Redekopp MP,≤100
109507830610903,Woken Promises,Mavros Whessell,≤100
37523552825,One Drop,One Drop,≤100
266408097438964,Canadian Consumer Rewards Coalition,Canadian Consumer Rewards Coalition,≤100
885367448177343,Bob Zimmer MP,Bob Zimmer MP,≤100
106379514455593,Paramount Digital Agency,Yasmina Tabbal,≤100
101341720011488,ONFR+,ONFR+,≤100
392629388021829,Ally Global Foundation,Ally Global Foundation,≤100
102641588585816,Victoria Rumble Room,Johny D Juricic,≤100
420437455160941,Planet Friendly News,Planet Friendly News,≤100
152467601467262,BMO Groupe financier,BMO Financial Group,≤100
102285745958242,Brian Johns,Brian Johns,≤100
152467601467262,BMO Groupe financier,BMO Groupe financier,≤100
121658954562795,Mark Gerretsen,Mark Gerretsen,≤100
168889579973,Fondation David Suzuki,Fondation David Suzuki,≤100
674109146110155,Debunk Inc,Debunk Inc,≤100
103956554747124,Dying Medium Press,These ads ran without a disclaimer,≤100
154462904588700,Enbridge Gas,Enbridge Gas,≤100
1344251769044889,BC Rental Project,BC Rental Project,≤100
110399254207637,Stop Divestment InvestNow,Stop Divestment InvestNow,≤100
