Page ID,Page name,Disclaimer,Amount spent (NOK)
111345183340,Fagforbundet,Fagforbundet,1320
14095969045,Fremskrittspartiet,Fremskrittspartiet,1032
10953652930,Høyre,Høyre,959
156545564365962,Stavanger Arbeiderparti,Stavanger Arbeiderparti,843
126895400704503,Rogaland Høyre,Rogaland Høyre,792
139808122732007,Sola Høyre,Sola Høyre,477
20468812735,LO,LO,405
322525743444,Get Inspired,These ads ran without a disclaimer,371
111708802237988,Haugesund Arbeiderparti,Haugesund Arbeiderparti,286
203067569732001,Fellesforbundet,Fellesforbundet,285
135843375926,UNICEF Norge,UNICEF Norge,231
1772831389697261,Frimodig kirke,These ads ran without a disclaimer,227
46818767155,Miljøpartiet De Grønne - MDG,Miljøpartiet De Grønne,206
185349298793613,"Kari Nessa Nordtun, ordfører i Stavanger","Kari Nessa Nordtun, ordfører i Stavanger",191
46448594983,Næringsforeningen i Stavanger-regionen,Næringsforeningen i Stavanger-regionen,173
275389322558295,LOs sommerpatrulje,LO,145
44960467949,Greenpeace Norge,Föreningen Greenpeace Norden,139
11526489541,Senterpartiet,Senterpartiet,137
371106536283235,DAG OG TID,Dag og Tid AS,111
34448777123,Haugesund Venstre,Haugesund Venstre,107
728518604216173,HELT MED,Stiftelsen HELT MED,≤100
133640403364515,Næringsforeningen Haugalandet,Næringsforeningen Haugalandet,≤100
57542291449,FFO - Funksjonshemmedes fellesorganisasjon,Funksjonshemmedes Fellesorganisasjon (FFO),≤100
113275862050709,Næringslivets Hovedorganisasjon,Næringslivets Hovedorganisasjon,≤100
33483001033,SV - Sosialistisk Venstreparti,SV - Sosialistisk Venstreparti,≤100
117918141561451,Sandnes Arbeiderparti,Sandnes Arbeiderparti,≤100
21603349508,NOAH - for dyrs rettigheter,NOAH - for dyrs rettigheter,≤100
136206693091663,Norges Fiskarlag,Norges Fiskarlag,≤100
1461371280751779,Hå KrF,Hå KrF,≤100
380405316155402,Stopp alzheimer og demens,Nasjonalforeningen for folkehelsen,≤100
189828081044593,MS-forbundet i Norge,Ms-forbundet,≤100
60540214886,Lederne,These ads ran without a disclaimer,≤100
200168040392101,Hustadvika kommune,These ads ran without a disclaimer,≤100
132368899297,Framtiden i våre hender,Framtiden i våre hender,≤100
200391539998753,Rogaland KrFU,Rogaland KrFU,≤100
118907661526276,Randaberg Arbeiderparti,Randaberg Arbeiderparti,≤100
190352884334829,Haugesund Senterparti,Haugesund Senterparti,≤100
352782288790,Stavanger Venstre,Stavanger Venstre,≤100
116061688413662,Advokatfirmaet Eurojuris Haugesund,These ads ran without a disclaimer,≤100
120374971332864,Kagge Forlag,Kagge Forlag,≤100
119797291429215,RIO - en landsdekkende brukerorganisasjon på rusfeltet,RIO - en landsdekkende brukerorganisasjon på rusfeltet,≤100
182454165137980,TRY,TRY,≤100
157803497575876,NHO Reiseliv,NHO Reiseliv,≤100
