Page ID,Page name,Disclaimer,Amount spent (CZK)
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,779
278117815576023,EU Justice and Consumers,EU Justice and Consumers,514
370583064327,Starostové a nezávislí • STAN,Starostové a nezávislí • STAN,159
178362315106,European Parliament,European Parliament,129
487445514669670,Petr Fiala,ODS - Občanská demokratická strana,115
308878909205138,Toyota Česká republika,Toyota Česká republika,111
424114981002397,Český rozhlas Plus,Český rozhlas,107
632832356800711,Plzeňský Prazdroj,Plzeňský Prazdroj,≤100
146713862010620,Martin Baxa,Martin Baxa,≤100
120461304659141,O2 CZ,O2 Czech republic,≤100
206791046438534,Plant for the Planet - Česká republika,Plant-for-the-Planet Czech Republic Nadace,≤100
137301989386,Aktuálně.cz,Aktuálně.cz,≤100
264983260329918,Rádio Universum,Kupředu do minulosti s.r.o.,≤100
110945610569821,Odchod.eu,Hnutí Odchod,≤100
384187235387895,Alena Schillerová,ANO,≤100
251656685576,KDU-ČSL,KDU-ČSL,≤100
693725074166331,Naše zdravotnictví,Naše zdravotnictví,≤100
105994357680102,Avenberg.cz,These ads ran without a disclaimer,≤100
137778619615350,Voyo.cz,TV Nova s. r. o.,≤100
109323929038,Česká pirátská strana,Česká pirátská strana,≤100
139379141293,Paměť národa,"Post Bellum, z.ú.",≤100
111108757492137,Libor Vondráček • Svobodní,Libor Vondráček • Svobodní,≤100
1469427909957890,Reportér magazín,Reportér magazín,≤100
1956144064659620,BlueTV,Aliance pro budoucnost,≤100
1416733788557863,Pravda o vodě a voda lidem,Pravda o vodě a voda lidem,≤100
106834174877753,Svět hospodářství,"SH media, spol. s r.o.",≤100
52479821102,Týdeník Respekt,Týdeník Respekt,≤100
124152241443,Čmelák - Společnost Přátel Přírody,Čmelák - Společnost přátel přírody,≤100
58864692622,Český rozhlas Vltava,Český rozhlas,≤100
90002267161,TOP 09,TOP 09,≤100
711658465662315,XTV,XTV,≤100
171936526824,EKONOM.cz,"Economia, a.s.",≤100
101983652354160,Jozef Síkela,Starostové a nezávislí,≤100
123858471641,iROZHLAS.cz,Český rozhlas,≤100
298789466930469,KSČM - Komunistická strana Čech a Moravy,Komunistická strana Čech a Moravy,≤100
275383259179951,Tepelná čerpadla IVT,Tepelná čerpadla IVT,≤100
214827221987263,Andrej Babiš,Andrej Babiš,≤100
60516116431,Člověk v tísni,"Člověk v tísni, o.p.s.",≤100
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,≤100
460558621177512,Zálohujme.cz,Zálohujme,≤100
105002754733933,Matěj Gregor,Odchod z.s.,≤100
284944781875,EURACTIV.cz,EURACTIV.cz,≤100
122414944594991,"Chrenek, Toman, Kotrba advokátní kancelář","Chrenek, Toman, Kotrba advokátní kancelář",≤100
257529307701966,Jiří Pospíšil,TOP 09,≤100
106901094332851,Recykluj - nespaluj,Recykluj - nespaluj hys,≤100
378827025796132,Peak.cz,Peak.cz,≤100
321762510282,Michal Kučera,Michal Kučera,≤100
337302141482,Marianne,These ads ran without a disclaimer,≤100
104398128891546,Jan Hrušovský,Jan Hrušovský,≤100
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,≤100
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,≤100
112063685472868,KDU-ČSL Karlovarský kraj,Krajská organizace Karlovarského kraje KDU-ČSL,≤100
1776002445975063,V síti Ivana Langera,RiverSong s.r.o.,≤100
343987063337791,CyberBlog,Cyber Security Solutions s.r.o.,≤100
273367223021327,Veronika Vrecionová,Veronika Vrecionová,≤100
356382154550156,e.on,These ads ran without a disclaimer,≤100
548487565163265,"Buď Čech, buď laska","Buď Čech, buď laska",≤100
102620981865843,Jana Skopalíková - radní pro životní prostředí a zemědělství,Jana Skopalíková - radní pro životní prostředí a zemědělství,≤100
107572505087543,AŘOV - Asociace řidičů osobních vozidel,"Asociace řidičů osobních vozidel, z.s.",≤100
119624098506,Kateřina Konečná,Kateřina Konečná,≤100
1797185020366096,Scale,Scale,≤100
288004403427,"Friedrich-Ebert-Stiftung, zastoupení v České republice","Friedrich-Ebert-Stiftung, zastoupení v České republice",≤100
1161002053978712,Jitka Seitlová,KDU-ČSL,≤100
952005618247538,Martin Červíček,Martin Červíček,≤100
113743658978459,Meltingpot,Meltingpot,≤100
153384318085064,EUROPEUM Institute for European Policy,EUROPEUM Institute for European Policy,≤100
863066993754032,LOCIKA - centrum pro děti ohrožené domácím násilím,Centrum LOCIKA,≤100
220814337523,Kurzy.cz,"Kurzy.cz, spol. s r.o.",≤100
101082378110228,Budoucnost,Budoucnost,≤100
117823623864,Transparency International ČR,Transparency International ČR,≤100
100528438562922,Oznam.to,Lexnova s.r.o.,≤100
124212050978293,Kverulant org,Kverulant org,≤100
147547541961576,Council of the European Union,Council of the European Union,≤100
1570680696523246,Institut pro politiku a společnost,Institut pro politiku a společnost,≤100
50309511751,Český rozhlas - Radiožurnál,Český rozhlas,≤100
107350392418432,Срочные Новости,These ads ran without a disclaimer,≤100
100609955039699,Corrency,Corrency,≤100
263551603800539,Martin Kolovratník,Martin Kolovratník - ANO,≤100
375868542113,Piráti Jihočeský kraj,Česká pirátská strana,≤100
745225392241191,Primagas Česká republika,PRIMAGAS s.r.o.,≤100
117953251324561,Kovanej,These ads ran without a disclaimer,≤100
1468464403368393,Herbert Pavera - Váš senátor na Opavsku,PRodukujeme s. r. o.,≤100
107996628144164,PRAHA 6 SOBĚ,PRAHA SOBĚ,≤100
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100
80760668265,Valamar All You Can Holiday,These ads ran without a disclaimer,≤100
113058865019747,Cocobowls,These ads ran without a disclaimer,≤100
