Page ID,Page name,Disclaimer,Amount spent (GTQ)
110582257361172,Partido Azul,Partido Azul,≤100
109189810962889,Comunidad Elefante,Shorik Yann Mejia Blanco,≤100
102920459201600,Partido Azul Moyuta,Partido Azul Moyuta,≤100
100357155113158,Nery Ramos,Nery Ramos,≤100
104917155362067,Roberto Arzu García-Granados,Roberto Arzú García-Granados,≤100
100228912981471,PAN - Partido de Avanzada Nacional,PAN - Partido de Avanzada Nacional,≤100
1911003529195315,Roberto Arzú,Roberto Arzú García-Granados,≤100
106908785419555,Goberna Guatemala,Goberna,≤100
754661271544464,El Sol de Mixco,El Sol de Mixco,≤100
142373979127061,Partido Unionista,Partido Unionista,≤100
108690811775877,Adrián G. Morales,Adrián G. Morales,≤100
112086655128494,Danilo Mazariegos,Dilan Daniel,≤100
304499560287545,Mariano Portillo,These ads ran without a disclaimer,≤100
259718244041813,Guatemala Próspera,These ads ran without a disclaimer,≤100
145648232252879,Disfam - Asociación Dislexia y Familia,These ads ran without a disclaimer,≤100
110048055101144,Jorge Antonio Rivas Ellgutter,These ads ran without a disclaimer,≤100
102880852149221,Martyn maujo,These ads ran without a disclaimer,≤100
281554395331686,República,"Republica GT, S.A.",≤100
