Page ID,Page name,Disclaimer,Amount spent (ZAR)
740116816003959,Western Cape Government,Western Cape Government,593
136956534616,Times LIVE,TimesLIVE,174
6011868110,Democratic Alliance,Democratic Alliance,171
133307190069756,Amnesty International South Africa,Amnesty International South Africa,167
114506216924214,Centre For Risk Analysis,Centre For Risk Analysis,121
102516258668317,Siza Water,Fahim N Farzanah Dawood,105
102765088210163,Action SA,ActionSA,104
106172744063430,The Daily Friend,The Daily Friend,≤100
119736861394881,Financial Mail,BusinessLIVE,≤100
105758608971668,Free Speech Union South Africa,Free Speech Union South Africa,≤100
100264376287543,Ward 105 Tshwane - Lida Erasmus,Democratic Alliance Gauteng North,≤100
2145594122138312,Action Society,Action Society,≤100
107169379305548,TLU SA,TLU SA,≤100
181204251979581,NEASA,National Employers' Association of South Africa,≤100
110396351742144,DA Tshwane Far East Constituency,Democratic Alliance Gauteng North,≤100
134187920103120,Dr. J. Reid (Neurologist),Johan Reid,≤100
109136451414156,Educate Don't Indoctrinate,Educate Don't Indocrinate,≤100
103278761413963,Empowering SA,Empowering SA,≤100
106365011109894,WoMin African Alliance,WoMin African Alliance,≤100
794336640617861,Cyril Ramaphosa Foundation,Cyril Ramaphosa Foundation,≤100
165246196904704,Sakeliga,Sakeliga,≤100
63044235866,UN Climate Change,UN Climate Change with Facebook Ad Credits,≤100
148049779395307,Ukrainian Institute - Український інститут,These ads ran without a disclaimer,≤100
