Page ID,Page name,Disclaimer,Amount spent (FJD)
1743956595869001,Sitiveni 480 Rabuka,The Peoples Alliance,825
101911352706122,Manoa 454 Kamikamica,Manoa Kamikamica,316
108993025227860,Bhavick Kapadia - Candidate 191 - NFP,Bhavick Kapadia,158
678542618881925,FijiFirst,FijiFirst Party,147
373802769341908,Fijian Elections Office,Fijian Elections Office,≤100
100933916035770,Mohammed R. Khan,Mohammed Rieaz Khan,≤100
128371938956830,Social Democratic Liberal Party,SODELPA,≤100
101115795699266,Rinesh Sharma,Rinesh Sharma,≤100
113451204686577,Vote 479 Filipe Tuisawau,Vote 479 Filipe Tuisawau,≤100
105390382395414,Faiyaz Koya - Vote 216,Mohammed Reyhan Shaheed,≤100
110378568343831,Temalesi Rabalolo Dinati,Temalesi Rabalolo Dinati,≤100
111474633636880,Fiji Independent Commission Against Corruption - FICAC,Fiji Independent Commission Against Corruption (FICAC),≤100
103064599146248,Ifereimi Vasu,These ads ran without a disclaimer,≤100
110581751226230,Traveler Door - the 1000 page,These ads ran without a disclaimer,≤100
136235250405370,The Fashion Ball,These ads ran without a disclaimer,≤100
211278712925199,Amnesty International,These ads ran without a disclaimer,≤100
132579906756944,United Nations ESCAP,These ads ran without a disclaimer,≤100
105363750882345,Young Activists Summit,These ads ran without a disclaimer,≤100
