Page ID,Page name,Disclaimer,Amount spent (GBP)
6233536938,War Child UK,War Child UK,≤100
102639461303190,Fair Pay For All,Fair Pay For All,≤100
100771226087265,Susie's Tips,Susie's Tips,≤100
9250349228,Greenpeace UK,Greenpeace UK,≤100
7715002593,UNICEF UK,Unicef UK,≤100
97116898596,Sightsavers,Sightsavers,≤100
10499876484,Compassion in World Farming,Compassion in World Farming,≤100
799576543492660,The Week Junior,The Week Junior,≤100
110861655604080,Friends of the Earth,Friends of the Earth (EWNI),≤100
241312696375349,National Education Union,National Education Union,≤100
408582579294175,UK government,UK Government,≤100
8555757947,Tearfund,Tearfund,≤100
311627208673,WWF UK,WWF UK,≤100
26698813123,British Red Cross,British Red Cross,≤100
348366988862054,Oxfam Campaigns,Oxfam Great Britain,≤100
117476785190,Save the Children UK,Save the Children UK,≤100
208573062515662,Freedom from Torture,Freedom from Torture,≤100
54779960819,United Nations,United Nations with Facebook Ad Credits,≤100
10114144851,NSPCC,NSPCC,≤100
35671512696,World Animal Protection UK,World Animal Protection UK,≤100
34994060032,Students' Union UCL,Students' Union UCL,≤100
103359739162746,The News Agents,The News Agents,≤100
7527864602,WaterAid UK,WaterAid UK,≤100
104259838288065,Independent Monitoring Authority,Independent Monitoring Authority,≤100
490007667679401,Hugh James,Hugh James,≤100
113728932022446,Internet Watch Foundation,Internet Watch Foundation,≤100
7043497714,Christian Aid,Christian Aid,≤100
121936349543,World Vision UK,World Vision UK,≤100
18044497940,Plan International UK,Plan International UK,≤100
1239655572849437,Aviva plc,Aviva,≤100
200006375787,38 Degrees,38 Degrees,≤100
169042736456594,All Out,All Out,≤100
208189704820,Ellen MacArthur Foundation,Ellen MacArthur Foundation,≤100
107211874458964,Your Time Pilates,Your Time Pilates,≤100
158077247591710,Refuge,Refuge,≤100
158845110844485,British Deaf Association,British Deaf Association,≤100
19895907944,CAFOD,CAFOD,≤100
103458012300068,Renters' Reform Coalition,Renters Reform Coalition,≤100
220543443746,International Rescue Committee - UK,International Rescue Committee UK,≤100
514212165305248,Leigh Day,Leigh Day,≤100
163277273712719,Oxford Plastics,Oxford Plastics,≤100
2047806148766050,Animal Equality UK,Animal Equality UK,≤100
353224381469808,ifaw,IFAW,≤100
7624294394,Amnesty International UK,Amnesty International UK,≤100
97708339756,Action for Children,Action for Children,≤100
394936823930287,Age International,Age International,≤100
105411905372844,Free to Switch,Shared Voice,≤100
164362913586214,Womankind Worldwide,Womankind Worldwide,≤100
238394282845251,The Big Issue,The Big Issue,≤100
39605200520,ActionAid UK,ActionAid UK,≤100
484347364910183,Tate Collective,Tate Collective,≤100
569834799727730,National Grid UK,National Grid UK,≤100
163862575762,Embrace the Middle East,Embrace the Middle East,≤100
177855115588808,The Week UK,The Week UK,≤100
601388547012748,Ecologi,Ecologi,≤100
220543443746,International Rescue Committee - UK,International Rescue Committee - UK,≤100
2352224541726783,Cancard,Cancard,≤100
143837658998810,WWT,Wildfowl and Wetlands Trust,≤100
45986010500,Barnardo's,Barnardo's,≤100
358126247463,Speech and Language UK,Speech and Language UK,≤100
446908312440837,Pepper Money UK,Pepper Money UK,≤100
113465595017258,stockdoctoruk,These ads ran without a disclaimer,≤100
183759769950,First News,First News- The Newspaper for Young People,≤100
158299194227578,RNID,These ads ran without a disclaimer,≤100
284245658291357,Leukaemia Care,Leukaemia Care,≤100
100460115820499,Recork,Recork,≤100
103835971750,Orbis UK,Orbis UK,≤100
358531814192900,Bloomsbury Publishing UK,Bloomsbury Publishing UK,≤100
283661679914,YoungMinds,youngmindsuk,≤100
117336767955802,jess_the_yachtie,These ads ran without a disclaimer,≤100
110538548040758,Care2 UK,John Ayling & Associates,≤100
101183108039162,P1vital,P1vital,≤100
77680316823,Finisterre,Finisterre,≤100
7214031395,Oxfam Great Britain,Oxfam Great Britain,≤100
249209468838241,Good Law Project,Good Law Project,≤100
483680375497477,Shell Energy,Shell Energy Retail Limited,≤100
114651147002520,SSE Energy Solutions,SSE,≤100
346684596111093,KinKind,KinKind Ltd,≤100
410823655183,All We Can,All We Can,≤100
104677264773039,We Eat Balanced,Agriculture and Horticulture Development Board,≤100
105932165739421,London Digital Jobs & Skills Hub,Generation,≤100
349529338419493,Energy and Utilities Jobs,Joanne Hill,≤100
309500722564832,Lost Village Festival,These ads ran without a disclaimer,≤100
104009099175913,Queerify,These ads ran without a disclaimer,≤100
1721275931466984,The Reclaim Party,The Reclaim Party,≤100
101602743218479,Stop It Now! UK and Ireland,"Stop It Now! UK and Ireland, The Lucy Faithfull Foundation",≤100
195754307110390,Right To Life UK,Right To Life UK,≤100
501102899913552,HarperCollins Publishers UK,HarperCollins Publishers Limited,≤100
285638551575013,Al-Ayn Social Care Foundation - UK,Al-Ayn Social Care Foundation,≤100
53855227667,Porsche,These ads ran without a disclaimer,≤100
