Page ID,Page name,Disclaimer,Amount spent (NOK)
329095637110085,FRANTZ AS,Frantz as,1045
234659001772,Arbeiderpartiet,Arbeiderpartiet,630
111345183340,Fagforbundet,Fagforbundet,559
14095969045,Fremskrittspartiet,Fremskrittspartiet,518
110628757129572,LO Vestfold og Telemark,LO,355
46818767155,Miljøpartiet De Grønne - MDG,Miljøpartiet De Grønne,169
322525743444,Get Inspired,These ads ran without a disclaimer,160
10953652930,Høyre,Høyre,156
203067569732001,Fellesforbundet,Fellesforbundet,138
227287787462229,Skien Arbeiderparti,Skien Arbeiderparti,131
781470095268908,Skien Venstre,Skien Venstre,101
20468812735,LO,LO,≤100
764891286856218,Porsgrunn Arbeiderparti,Porsgrunn Arbeiderparti,≤100
135843375926,UNICEF Norge,UNICEF Norge,≤100
126448980866214,Klassekampen,Klassekampen,≤100
44960467949,Greenpeace Norge,Föreningen Greenpeace Norden,≤100
11526489541,Senterpartiet,Senterpartiet,≤100
275389322558295,LOs sommerpatrulje,LO,≤100
113275862050709,Næringslivets Hovedorganisasjon,Næringslivets Hovedorganisasjon,≤100
33483001033,SV - Sosialistisk Venstreparti,SV - Sosialistisk Venstreparti,≤100
371106536283235,DAG OG TID,Dag og Tid AS,≤100
21603349508,NOAH - for dyrs rettigheter,NOAH - for dyrs rettigheter,≤100
189828081044593,MS-forbundet i Norge,Ms-forbundet,≤100
198148715581,Vestfold og Telemark FrP,Vestfold og Telemark FrP,≤100
100815452998224,,Bamble AP,≤100
57542291449,FFO - Funksjonshemmedes fellesorganisasjon,Funksjonshemmedes Fellesorganisasjon (FFO),≤100
623596214494727,Anima - Stopp dyremishandling,Anima - stopp dyremishandling,≤100
200168040392101,Hustadvika kommune,These ads ran without a disclaimer,≤100
10254410675,Venstre,Venstre,≤100
567993443304031,Larvik Høyre,Larvik Høyre,≤100
227688410297,Radio Latin-Amerika,Radio Latin-Amerika,≤100
132368899297,Framtiden i våre hender,Framtiden i våre hender,≤100
108203984145752,Kruse Larsen,Kruse Larsen,≤100
186626994701210,Forbundet for Ledelse og Teknikk (FLT),Forbundet for Ledelse og Teknikk (FLT),≤100
120374971332864,Kagge Forlag,Kagge Forlag,≤100
278615972984573,Tverga,Tverga,≤100
1583324988565868,Stortinget,Stortinget,≤100
361622540537204,Skien SV,Skien SV,≤100
380405316155402,Stopp alzheimer og demens,Nasjonalforeningen for folkehelsen,≤100
119797291429215,RIO - en landsdekkende brukerorganisasjon på rusfeltet,RIO - en landsdekkende brukerorganisasjon på rusfeltet,≤100
136901969692355,Buskerud Senterparti,Buskerud Senterparti,≤100
196060713751352,LO Trøndelag,LO,≤100
157803497575876,NHO Reiseliv,NHO Reiseliv,≤100
106716332332281,Njål Vigleik Grene-Johnsen,Njål Vigleik Grene-Johnsen,≤100
120815981305897,KS Kommunesektorens organisasjon,KS Kommunesektorens organisasjon,≤100
2398568533531114,Velferdsmiks,NHO Geneo,≤100
106736786343446,Stord FrP,Stord FrP,≤100
227287787462229,Skien Arbeiderparti,These ads ran without a disclaimer,≤100
157929987567626,Oslo MDG,OSLO MILJØPARTIET DE GRØNNE,≤100
10150100790365316,Samlerhuset,These ads ran without a disclaimer,≤100
367798489898591,Tønsberg Arbeiderparti,Tønsberg Arbeiderparti,≤100
119878348024795,ULOBA,Uloba - Independent Living Norge,≤100
179839425383047,Yrkestrafikkforbundet - YTF,Yrkestrafikkforbundet,≤100
60540214886,Lederne,These ads ran without a disclaimer,≤100
101877112854513,,Østfold SV,≤100
100885889429302,Verdinytt,Verdinytt AS,≤100
129172787092846,Norsk Kennel Klub (NKK),Norsk Kennel Klub,≤100
119062344777724,Bjerke FrP,Bjerke FrP,≤100
189196954458836,Klar Tale,Stiftelsen Klar Tale,≤100
426489054185232,Kristiansand Arbeiderparti,Kristiansand Arbeiderparti,≤100
398467843499743,Rogaland Senterparti,Rogaland Senterparti,≤100
126448980866214,Klassekampen,Klassekampen AS,≤100
176175415825122,apotek.no,Apotekforeningen,≤100
116313645108382,IFE - Institutt for energiteknikk,IFE - Institutt for energiteknikk,≤100
129515713837852,Corporate Communications,Corporate Communications,≤100
229573520418264,Halden FrP,Halden FrP,≤100
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,≤100
230808690265272,Drammen SV,Drammen SV,≤100
133640403364515,Næringsforeningen Haugalandet,Næringsforeningen Haugalandet,≤100
102040431616976,Beaufort Solutions,Beaufort Solutions,≤100
58473863651,Amnesty International Norway,Amnesty International Norge,≤100
139630365693,Drammen FrP,Drammen Fremskrittsparti,≤100
198660866818662,Afghanistankomiteen - NAC,Afghanistankomiteen,≤100
