Page ID,Page name,Disclaimer,Amount spent (ZAR)
597918073626793,Democratic Alliance Free State,Democratic Alliance Free State,199
740116816003959,Western Cape Government,Western Cape Government,108
102765088210163,Action SA,ActionSA,≤100
136956534616,Times LIVE,TimesLIVE,≤100
114506216924214,Centre For Risk Analysis,Centre For Risk Analysis,≤100
133307190069756,Amnesty International South Africa,Amnesty International South Africa,≤100
107169379305548,TLU SA,TLU SA,≤100
478479492268974,Sunday Times ZA,Sunday Times,≤100
6011868110,Democratic Alliance,Democratic Alliance,≤100
106172744063430,The Daily Friend,The Daily Friend,≤100
187645864452,Vryheidsfront Plus / Freedom Front Plus,Vryheidsfront Plus / Freedom Front Plus,≤100
105758608971668,Free Speech Union South Africa,Free Speech Union South Africa,≤100
119736861394881,Financial Mail,BusinessLIVE,≤100
165246196904704,Sakeliga,Sakeliga,≤100
2145594122138312,Action Society,Action Society,≤100
103278761413963,Empowering SA,Empowering SA,≤100
181204251979581,NEASA,National Employers' Association of South Africa,≤100
109136451414156,Educate Don't Indoctrinate,Educate Don't Indocrinate,≤100
794336640617861,Cyril Ramaphosa Foundation,Cyril Ramaphosa Foundation,≤100
311936835992045,Dear South Africa,DearSA,≤100
103131862424141,IZWE LETHU PARTY,IZWE LETHU PARTY,≤100
144985128871748,City of Cape Town,Sanelisiwe Owethu Ntabeni,≤100
107548007405897,Positive Kingdom Politics - Rather Build than Break our South Africa,These ads ran without a disclaimer,≤100
98673036962,ROLDA,These ads ran without a disclaimer,≤100
