Page ID,Page name,Disclaimer,Amount spent (SEK)
643137272398136,Sverige för UNHCR,Sverige för UNHCR,≤100
109886133732943,RESCUE - Sverige,RESCUE - Sverige,≤100
608975645850217,Vattenfall,Vattenfall Sverige,≤100
114526821939129,Arla,Arla,≤100
151159271594797,Systembolaget,Systembolaget,≤100
382243262003,Plan International Sverige,Plan International Sverige,≤100
279974638809211,Oxfam Sverige,Oxfam Sverige,≤100
111630258867610,Röda Korset,Röda Korset,≤100
162985227114132,Skellefteå Kraft,Skellefteå Kraft,≤100
101341883359561,Matsmart Sverige,Matsmart,≤100
72659261793,Rädda Barnen,Rädda Barnen,≤100
68115370786,Läkare Utan Gränser (MSF),Läkare Utan Gränser/ Médecins sans Frontières (MSF Sweden),≤100
95735961890,Greenpeace Sverige,Greenpeace Sverige,≤100
237146235237,Timbro,Tankesmedjan Timbro,≤100
153028052500,Kvinna till Kvinna,Stiftelsen Kvinna till Kvinna,≤100
59324455950,UNICEF Sverige,UNICEF Sverige,≤100
42676805259,Diakonia,Diakonia,≤100
161213770567846,Operation Smile Sverige,Operation Smile Sverige,≤100
270417619700700,Snb:s Skribentskola,Svenska Nyhetsbyrån,≤100
236221570038,BRIS: Barnens Rätt I Samhället,BRIS: Barnens Rätt I Samhället,≤100
103296115466644,Skattenytta,Kommissionen för Skattenytta,≤100
1531320107133721,Syre,Dagens O2 AB,≤100
19746853632,Djurens Rätt,Djurens Rätt,≤100
90882504375,Svenskt Näringsliv,Svenskt Näringsliv,≤100
125777020786691,Mikael Damberg,Socialdemokraterna,≤100
1757191391203190,Proethos fond,Proethos AB,≤100
127063960674693,Svenska Freds- och Skiljedomsföreningen,Svenska Freds- och Skiljedomsföreningen,≤100
676246449160270,Sverigedemokraterna,Sverigedemokraterna,≤100
130148200513245,Amazon Watch Sverige,Amazon Watch Sverige,≤100
110723197258182,Sverige inför verkligheten,Sverige inför verkligheten,≤100
273053169937029,ClimateHero,ClimateHero,≤100
328754490337,Vårdförbundet,Vårdförbundet,≤100
122854408319,Hjärt-Lungfonden,Hjärt-Lungfonden,≤100
128452220525979,CIVIL RIGHTS DEFENDERS,CIVIL RIGHTS DEFENDERS,≤100
314872662206,Ekonomifakta,Ekonomifakta,≤100
190362484322035,Komlitt förlag,Emma Holmström,≤100
186513678039755,Fortum,Fortum Sverige,≤100
130927360876045,Tidningen Näringslivet,Tidningen Näringslivet,≤100
296423575695,Afrikagrupperna,Afrikagrupperna,≤100
369582590803,Dagens ETC,ETC-tidningarna,≤100
122512491125750,Ängelholms kommun,Ängelholms kommun,≤100
1545369075688158,Brottsofferjouren Sverige,Brottsofferjouren Sverige,≤100
188616781161573,World Animal Protection Sverige,World Animal Protection Sverige,≤100
342952129133948,Kultur i Malmö,Kultur i Malmö,≤100
417057608473946,Svenska Djurskyddsföreningen,Svenska djurskyddsföreningen,≤100
902764029818093,Child10,Stiftelsen Child10,≤100
266170183550491,Nya Kompisbyrån,Nya Kompisbyrån,≤100
113710601984970,Barnfonden,Barnfonden,≤100
171919835807,TCO,TCO,≤100
293679875824,Svenska FN-förbundet,Svenska FN-förbundet,≤100
356032977210,Vi-skogen,Vi-skogen,≤100
120216874723147,Svenskt Sigill,Svenskt Sigill,≤100
699733880123060,Tjejjouren i Lund - en transinkluderande jour,Tjejjouren i Lund,≤100
106248149037837,Whether,These ads ran without a disclaimer,≤100
