Page ID,Page name,Disclaimer,Amount spent (NOK)
234659001772,Arbeiderpartiet,Arbeiderpartiet,910
2869351156469363,Tonje Lavik - FrP,Tonje Lavik,507
135843375926,UNICEF Norge,UNICEF Norge,483
111345183340,Fagforbundet,Fagforbundet,336
371106536283235,DAG OG TID,Dag og Tid AS,293
1393549780951794,Snuslageret.no,These ads ran without a disclaimer,264
289683304433819,Rælingen Høyre,Rælingen Høyre,177
227688410297,Radio Latin-Amerika,Radio Latin-Amerika,157
10953652930,Høyre,Høyre,147
44960467949,Greenpeace Norge,Föreningen Greenpeace Norden,106
100696475439308,Ås Arbeiderparti - Ås Ap,Ås Arbeiderparti,≤100
189429677833005,Lørenskog SV,Lørenskog Sosialistisk Venstreparti,≤100
176370189723,SOR,Stiftelsen SOR,≤100
183450288333331,Eidsvoll Høyre,Eidsvoll Høyre,≤100
21603349508,NOAH - for dyrs rettigheter,NOAH - for dyrs rettigheter,≤100
623596214494727,Anima - Stopp dyremishandling,Anima - stopp dyremishandling,≤100
730770907052378,Aurskog-Høland Senterparti,Aurskog-Høland Senterparti,≤100
116972608335219,Naturvernforbundet,Naturvernforbundet,≤100
119797291429215,RIO - en landsdekkende brukerorganisasjon på rusfeltet,RIO - en landsdekkende brukerorganisasjon på rusfeltet,≤100
131267734363,Kirkens Nødhjelp,Kirkens Nødhjelp,≤100
100682016119457,Universitetsplassen - UiO,Universitetet i Oslo,≤100
153710294662597,Human-Etisk Forbund,Human-Etisk Forbund,≤100
198148715581,Vestfold og Telemark FrP,Vestfold og Telemark FrP,≤100
189828081044593,MS-forbundet i Norge,Ms-forbundet,≤100
106525135779095,Forebygging som fungerer,Tryggere Ruspolitikk,≤100
113384899919,Noregs Mållag,Noregs Mållag,≤100
129925163706887,Oslo Dokumentarkino (The Oslo Documentary Cinema),Oslo Dokumentarkino,≤100
2398568533531114,Velferdsmiks,NHO Geneo,≤100
191041020931826,Gro Langdalen - Høyres ordførerkandidat i Rælingen,Rælingen Høyre,≤100
171619972854769,Oslo Arbeiderparti,Oslo Arbeiderparti,≤100
156202914404133,Minerva,Mediehuset Minerva,≤100
46818767155,Miljøpartiet De Grønne - MDG,Miljøpartiet De Grønne,≤100
123441227861600,Rælingen Arbeiderparti,Rælingen Arbeiderparti,≤100
417968848252894,Besteforeldrenes klimaaksjon,Besteforeldrenes Klimaaksjon,≤100
798750773559841,Bufdir,"Barne-, ungdoms-, og familiedirektoratet",≤100
157803497575876,NHO Reiseliv,NHO Reiseliv,≤100
173437119340296,Akershus Arbeiderparti,Akershus Arbeiderparti,≤100
171408368520,Norad,Norad,≤100
128566103830426,Civita,Civita AS,≤100
149452772322646,Snusinfo.no,Swedich Match Norge,≤100
132368899297,Framtiden i våre hender,Framtiden i våre hender,≤100
120374971332864,Kagge Forlag,Kagge Forlag,≤100
20468812735,LO,LO,≤100
11526489541,Senterpartiet,Senterpartiet,≤100
647021275725216,Nancy Hansson Gogstad,Lørenskog Sosialistisk Venstreparti,≤100
106613969124,Norsk Folkehjelp,Norsk Folkehjelp,≤100
106624927708496,Vaking,These ads ran without a disclaimer,≤100
107005018213171,Heia Nord-Norge,Heia Nord-Norge AS,≤100
136901969692355,Buskerud Senterparti,Buskerud Senterparti,≤100
102203325950193,Ingvild Lemme Kristiansen,Stendi,≤100
329095637110085,FRANTZ AS,Frantz as,≤100
119878348024795,ULOBA,Uloba - Independent Living Norge,≤100
162779380400712,Nansen Fredssenter,Nansen Fredssenter,≤100
560222237756647,Lillestrøm Høyre,Lillestrøm Høyre,≤100
105706168752816,NHO Geneo,NHO Geneo,≤100
1583324988565868,Stortinget,Stortinget,≤100
126448980866214,Klassekampen,Klassekampen AS,≤100
173260776025204,ICAN Norge,Tuva Krogh Widskjold,≤100
226417544192807,Tankesmien Agenda,Tankesmien Agenda,≤100
111322125898812,Filter Nyheter,Filter Nyheter,≤100
102040431616976,Beaufort Solutions,Beaufort Solutions,≤100
117726821605303,PBL,Aurora Dyrnes,≤100
119878348024795,ULOBA,Uloba - Independent Living Norge SA,≤100
113006005045036,Attack konferansen,Attack konferansen,≤100
112828598803706,Lillestrøm Venstre,Lillestrøm Venstre,≤100
610353968979259,Leger mot atomvåpen,Norske leger mot atomvåpen,≤100
103642311168469,Børre St. Børresen - samfunnsengasjert,Open-eye-Open-mind,≤100
270746343377367,FLR,These ads ran without a disclaimer,≤100
65439442167,SAIH,Studentenes og akademikernes internasjonale hjelpefond,≤100
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,≤100
307525272933,Humanist forlag,Humanist forlag,≤100
100885889429302,Verdinytt,Verdinytt AS,≤100
504462853625184,Aure Høyre,Aure Høyre,≤100
1629110813846272,Lånke Arbeiderlag,Bjørnar Strøm Larsen,≤100
163434517185776,Oslo Kvinnesaksforening,These ads ran without a disclaimer,≤100
544509242351729,Felleslista Færder Rødt/SV,Felleslista Færder Rødt/SV,≤100
112631767587663,Meninger24,Meninger24,≤100
162992587109244,Akershus SV,Akershus SV,≤100
