Page ID,Page name,Disclaimer,Amount spent (ZAR)
195909420099,Solidariteit,Solidariteit,≤100
187645864452,Vryheidsfront Plus / Freedom Front Plus,Vryheidsfront Plus / Freedom Front Plus,≤100
136956534616,Times LIVE,TimesLIVE,≤100
6011868110,Democratic Alliance,Democratic Alliance,≤100
1621692424754301,Minderoo Foundation,These ads ran without a disclaimer,≤100
181204251979581,NEASA,National Employers' Association of South Africa,≤100
2145594122138312,Action Society,Action Society,≤100
116657351312927,Pledge To Vote SA,Pledge to Vote,≤100
106172744063430,The Daily Friend,The Daily Friend,≤100
115864538089777,Dear SA - Have Your Say,Dear S Africa,≤100
105758608971668,Free Speech Union South Africa,Free Speech Union South Africa,≤100
478479492268974,Sunday Times ZA,Sunday Times,≤100
110901495091012,Crtve Development,Crtve Development with Facebook Ad credits,≤100
530927007388252,Vrye Weekblad,Vrye Weekblad (Nuwe Vrye Weekblad Mediagroep),≤100
119736861394881,Financial Mail,BusinessLIVE,≤100
112315630440653,Cape Independence Advocacy Group,Cape Independence Advocacy Group,≤100
379138726819,ACDP,ACDP,≤100
112657245152634,2024 AFR Campaign,These ads ran without a disclaimer,≤100
1019691118063870,Traverse Le Goff MP,Traverse Le Goff MP,≤100
109136451414156,Educate Don't Indoctrinate,Educate Don't Indocrinate,≤100
1271402709601865,HEALA,HEALA,≤100
102268322635915,The Finance Daily,These ads ran without a disclaimer,≤100
2294785130761885,Kingdom Network International,These ads ran without a disclaimer,≤100
108781898614203,Joburg Etc,These ads ran without a disclaimer,≤100
629021617133721,Judges Matter,Judges Matter,≤100
217696894929887,FW de Klerk Foundation,FW de Klerk Foundation,≤100
106426589071573,Bathabile Dlamini for ANCWL President,These ads ran without a disclaimer,≤100
106031142512759,Department of Home Affairs,These ads ran without a disclaimer,≤100
434577883273454,Sihle Zikalala,Sihle Zikalala,≤100
597918073626793,Democratic Alliance Free State,Democratic Alliance Free State,≤100
153911331339003,ACDP Western Cape,African Christian Democratic Party,≤100
216741958412414,Avon Worldwide,These ads ran without a disclaimer,≤100
322865159833,RCD Espanyol de Barcelona,These ads ran without a disclaimer,≤100
112827781827000,MALIK,These ads ran without a disclaimer,≤100
