Page ID,Page name,Disclaimer,Amount spent (DKK)
101875098313543,Andel,Andel,3835
12860228293,Politiken,Politiken,1060
123653695693986,Motatos Danmark,Motatos,848
116227401722605,Dansk Flygtningehjælp,Dansk Flygtningehjælp,706
65929129383,Røde Kors,Røde Kors,698
599763040213164,Radius Elnet,Radius Elnet,671
5624899398,Mellemfolkeligt Samvirke,Mellemfolkeligt Samvirke,455
261599053881378,Fagbevægelsens Hovedorganisation,Fagbevægelsens Hovedorganisation,299
924692171033381,"UNHCR, FN’s Flygtningeorganisation",These ads ran without a disclaimer,282
59143726810,Psykiatrifonden,Psykiatrifonden,268
153151900930,Ungdommens Røde Kors,Ungdommens Røde Kors,251
748887235210811,Obton Forvaltning A/S,Obton A/S,250
132344416862423,FOA,FOA,218
12787473132,Berlingske,Berlingske,214
69985338410,Jacob Mark,SF,211
276770505228,Folkekirkens Nødhjælp,Folkekirkens Nødhjælp,175
202627126417910,TAXA 4x35,Sammenslutningen Taxa 4x35,171
106468772046278,Project Greensand,Project Greensand,168
133707013355759,Danner,Danner,164
304554445813,Videncentret Bolius,Videncentret Bolius,161
109012749124622,3F - Gør dig stærkere.,3F - Danmarks Stærkeste Fagforening,153
55365680705,Greenpeace Danmark,Greenpeace Danmark,144
38507331439,Danmarks Naturfredningsforening,Danmarks Naturfredningsforening,143
22030968736,Anima,Anima,140
276145368333,Bedre Psykiatri - Landsforeningen for pårørende,Bedre Psykiatri - Landsforeningen for pårørende,120
49348971479,Pia Olsen Dyhr,SF,120
200709746630443,Dyrenes Beskyttelse,Dyrenes Beskyttelse,118
102154048301476,Lederstof.dk,Lederne,115
337166195327,BRYD TAVSHEDEN,BRYD TAVSHEDEN,114
314676938743,DM din akademiske fagforening,DM,108
66328502645,Dagbladet Information,Dagbladet Information,≤100
130388840342741,Danske Bank,Danske Bank,≤100
246977185497434,Plastic Change,Plastic Change,≤100
146956228206,Red Barnet Ungdom,Red Barnet Ungdom,≤100
350495955072656,Klimabevægelsen i Danmark,Klimabevægelsen i Danmark,≤100
155596147784577,WWF Verdensnaturfonden,WWF Verdensnaturfonden,≤100
274801571048099,Phillip Westh Weirup,Phillip Bruun Weirup,≤100
110953988146557,Mads Samsing,HK Danmark,≤100
126543540781090,Ældre Sagen,Ældre Sagen,≤100
105511328705392,HØRT,Børns Vilkår,≤100
427213910721659,Dansk Blindesamfund,Dansk Blindesamfund,≤100
1724068710936501,Anja C Jensen,HK Danmark,≤100
304554445813,Videncentret Bolius,Bolius,≤100
867877683280051,Weekendavisen,Weekendavisen,≤100
267019152979,"DPU, Aarhus Universitet",Carsten Henriksen,≤100
287306323369,Børnecancerfonden,Børnecancerfonden,≤100
5624899398,Mellemfolkeligt Samvirke,These ads ran without a disclaimer,≤100
36664432940,Amnesty International Danmark,Amnesty Danmark,≤100
633648073469576,Folketingets EU-Oplysning,Folketingets EU-Oplysning,≤100
110560691837684,SolCompagniet,SolCompagniet,≤100
125934997444897,SuperBrugsen,Coop,≤100
114022008656246,Danmarks Indsamling,Danmarks Indsamling,≤100
199699810115067,Forbrugerrådet Tænk,Forbrugerrådet Tænk,≤100
458650074898193,Indblik.dk,Indblik.dk,≤100
2319925761607995,Radio4,RADIO FM4 A/S,≤100
371163919965024,Andreas Karlsen,Karlsen Andreas Engelsborg,≤100
1704424023182897,Politiken Historie,Politiken Historie,≤100
1417372171814283,Byggegruppen 3F,Byggegruppen 3F,≤100
144098125661833,Nordea Invest,Nordea Invest,≤100
412665418794113,Claus Jensen,Dansk Metal,≤100
334571029981175,DM og MA studerende,DM,≤100
