Page ID,Page name,Disclaimer,Amount spent (KES)
149686932284314,Wisley Rotich,Wisley Kipyegon Rotich,1817
112465897227532,Solomon Kuria,Cornelius Murimi Muriithi,112
103644672731725,Amb. Nancy Karigithu,Arkinst Limited,107
105833652399018,Maina Karobia,Mwangi Godfrey Maina,≤100
112754900441156,DR. Kiarie Badilisha,Moses Ndirangu Badilisha Kiarie,≤100
412238482219683,Kambaland,Kambaland,≤100
123182861072147,Hon Musalia W Mudavadi,Michael Lulu Mudavadi,≤100
101395678744958,Hon Philomena Chenangat Loitarengan,Philomena Chenangat Loitarengan,≤100
173516606349429,Hon Wavinya Ndeti,Wavinya Ndeti,≤100
116308369063243,Kambria,These ads ran without a disclaimer,≤100
103349329408244,David Marvel,These ads ran without a disclaimer,≤100
