Page ID,Page name,Disclaimer,Amount spent (PLN)
395533923834784,PSL Mazowsze,Zarząd Wojewódzki Polskiego Stronnictwa Ludowego Województwa Mazowieckiego,480
196334343778888,Polskie Centrum Pomocy Międzynarodowej (PCPM),PCPM with Facebook ad credits,478
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,376
405824882955092,Mazowieckie,Urząd Marszałkowski Województwa Mazowieckiego w Warszawie,345
107265068092174,Onet Premium,Ringier Axel Springer Polska,211
57544755889,Amnesty International Polska,Amnesty International Polska,208
182038191908977,Cyfryzacja KPRM,Kancelaria Prezesa Rady Ministrów,181
654912251187357,Grupa PGE,Grupa PGE,174
111465470197991,Mateusz Morawiecki,Mateusz Morawiecki,163
108675458379147,Liczy się energia,Liczy się energia,151
469702339755768,Paweł Tanajno Polska Liberalna Strajk Przedsiębiorców,Iam4u.pl,128
50063176484,TVN24,TVN,120
178362315106,European Parliament,European Parliament,120
228168274881,wysokieobcasy,wysokieobcasy,120
273827962690526,Otwarte Klatki,Otwarte Klatki,117
520444618035778,Grupa EPL w Parlamencie Europejskim,EPP Group in the European Parliament,110
103189994608689,20stopni.pl,Konceptlab,105
513969188677442,Compassion Polska,Compassion Polska,≤100
133482470024453,Newsweek Polska,Newsweek Polska,≤100
339855706171439,Dobra Fabryka,Dobra Fabryka,≤100
136884656519145,IOM Poland,International Organization for Migration,≤100
907969312619463,Gazeta Żoliborza,PKM Żoli Media,≤100
393084100793680,Wiedza i Praktyka,Wiedza i Praktyka,≤100
102792325966064,Kopalnia kitu,Kopalnia Kitu (DoubleD Marketing),≤100
714003515334353,NOWA STACJA,Nowa Stacja Pruszków,≤100
104921858016507,Dzień Dobry Podatki,Michał Wilk,≤100
104061062331637,Pałac Saski,Pałac Saski Sp. z o.o.,≤100
106708966025605,Wydawnictwo W.A.B.,Grupa Wydawnicza Foksal,≤100
137358556439286,Ośrodek Monitorowania Zachowań Rasistowskich i Ksenofobicznych,Ośrodek Monitorowania Zachowań Rasistowskich i Ksenofobicznych,≤100
143951191449,Profinfo.pl,Wolters Kluwer PL,≤100
108301418501661,Odszkodowania Za Represje 1944-1989,Łukasz Świątek,≤100
427646927347438,A4 Katowice - Kraków,Stalexport Autostrada Małopolska S.A.,≤100
104884392877324,Alivia,Alivia - Fundacja Onkologiczna,≤100
173086948664,Infor.pl,Infor.pl,≤100
84072659617,Dom Spotkań z Historią,Dom Spotkań z Historią,≤100
305401181544,UNICEF Poland,UNICEF Polska,≤100
198196133533089,Polska Misja Medyczna / Polish Medical Mission,Polska Misja Medyczna / Polish Medical Mission,≤100
426784938154184,PrzyjacieleZwierzat.pl,PrzyjacieleZwierzat.pl,≤100
312204349288060,Mariusz Gosek,Mariusz Gosek,≤100
1477251852486946,Kosma Złotowski,Grupa Europejskich Konserwatystów i Reformatorów,≤100
74863922834,Krytyka Polityczna,Krytyka Polityczna,≤100
457690554629140,Narodowy Instytut Architektury i Urbanistyki,Narodowy Instytut Architektury i Urbanistyki,≤100
153679474688551,Wydawnictwo Fronda,Wydawnictwo Fronda,≤100
212318758790492,Westfield Mokotów,These ads ran without a disclaimer,≤100
108494929216934,Marcin Kierwiński,Marcin Kierwiński,≤100
475584852475176,Pozytron,Bartłomiej Jan Ginter,≤100
382875260304,Teologia Polityczna,Teologia Polityczna,≤100
203627442993022,Portal Oświatowy,Wiedza i Praktyka,≤100
178415208919146,Solidarna Polska,Solidarna Polska,≤100
142614625077,WWF Polska,WWF Polska,≤100
406758116099067,Fundacja Kasisi,Fundacja Kasisi,≤100
187613920648,Mazowiecka Wspólnota Samorządowa,Mazowiecka Wspólnota Samorządowa,≤100
271502918243,Polski Czerwony Krzyż (PCK),Polski Czerwony Krzyż (PCK),≤100
100120136068412,Reo.pl - platforma handlu energią z OZE,Reo.pl Sp. z o.o.,≤100
157458232131,Prawo i Sprawiedliwość,Prawo i Sprawiedliwość,≤100
1581518611867021,Zbigniew Ziobro,Zbigniew Ziobro,≤100
391098174296294,Super Express,se.pl,≤100
257593184447834,Władysław Kosiniak-Kamysz,Władysław Kosiniak-Kamysz,≤100
116580465063718,Marcin Meller,Grupa Wydawnicza Foksal,≤100
130220166122,Kupuj odpowiedzialnie,Kupuj odpowiedzialnie,≤100
170894632966683,Warszawski Instytut Bankowości,Sektorowa Rada ds. Kompetencji Sektora Finansowego,≤100
371752056582,Filmoteka Narodowa - Instytut Audiowizualny,These ads ran without a disclaimer,≤100
157022071030696,Centrum Bajki w Pacanowie,Centrum Bajki w Pacanowie,≤100
565491586826119,Transport-Publiczny.pl,Łukasz Malinowski,≤100
621959344553367,DNA Rynków - merytorycznie o giełdach i gospodarkach,DNA Rynków,≤100
505864632777215,Tygodnik Lisickiego,Orle Pióro sp. z o.o.,≤100
103718909184760,Marek Krawczyk,Marek Krawczyk,≤100
