Page ID,Page name,Disclaimer,Amount spent (CZK)
120343698070515,Liberální institut,Liberální institut,1415
60516116431,Člověk v tísni,Člověk v tísni o.p.s.,532
589679421044627,STAN Kraj Vysočina,Starostové a nezávislí,223
278897495559360,Kraj Vysočina,Kraj Vysočina,194
210778132327279,Prima,Prima,190
104768355190287,Sázíme Česko,PlanetWe Rewild s.r.o.,166
149945438407451,Svoboda zvířat,"Svoboda zvířat Plzeň, z.s.",151
370583064327,Starostové a nezávislí • STAN,Starostové a nezávislí • STAN,≤100
101954531415600,Lukáš Vlček • STAN,Starostové a nezávislí,≤100
251656685576,KDU-ČSL,KDU-ČSL,≤100
376809572404232,Kaufland Česká republika,These ads ran without a disclaimer,≤100
127355564021146,Knihkupectví Luxor,"Euromedia Group, a.s.",≤100
206407509818,Blesk.cz,CZECH NEWS CENTER a. s.,≤100
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,≤100
112174584650686,Pavel Hájek • STAN,Starostové a nezávislí,≤100
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,≤100
137778619615350,Voyo.cz,TV Nova s. r. o.,≤100
356451014434612,Marian Jurečka,KDU-ČSL,≤100
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,≤100
123858471641,iROZHLAS.cz,Český rozhlas,≤100
1477535869227488,Vít Rakušan,Starostové a nezávislí,≤100
394570898000897,Kniha Revoluce - Jakub Trpiš,Jakub Trpis,≤100
567229570370422,Eva Decroix,Decroix Eva,≤100
264983260329918,Rádio Universum,Kupředu do minulosti s.r.o.,≤100
58887737763,Hnutí DUHA - Přátelé Země Česká republika,Hnutí DUHA - Přátelé Země Česká republika,≤100
693725074166331,Naše zdravotnictví,Naše zdravotnictví,≤100
106834174877753,Svět hospodářství,"SH media, spol. s r.o.",≤100
220814337523,Kurzy.cz,"Kurzy.cz, spol. s r.o.",≤100
178362315106,European Parliament,European Parliament,≤100
1757913860945739,ORLEN Unipetrol,ORLEN Unipetrol a.s.,≤100
155406703122,Arnika,Arnika,≤100
197010357446014,Ondřej Prokop,Ondrej Prokop,≤100
1469427909957890,Reportér magazín,Reportér magazín,≤100
424114981002397,Český rozhlas Plus,Český rozhlas,≤100
553405241527947,Kancelář architekta města Brna - KAM Brno,Kancelář architekta města Brna,≤100
90002267161,TOP 09,TOP 09,≤100
103430204491217,Robert Šlachta,PŘÍSAHA - občanské hnutí Roberta Šlachty,≤100
460558621177512,Zálohujme.cz,Zálohujme,≤100
1104866262972886,Michal Šmarda,Česká strana sociálně demokratická,≤100
109664387308142,Poradna pro obce,KVB advokátní kancelář s.r.o.,≤100
107733504431288,CEVRO ARENA,Jiří Cieslar,≤100
275042429350706,Tomáš Zdechovský,Tomáš Zdechovský,≤100
125830487980906,Solární asociace,Solární asociace,≤100
416190415243,Fakulta životního prostředí - ČZU v Praze,Fakulta životního prostředí,≤100
100955509189359,Redakce NF Svědomí národa,Nadační fond Svědomí národa,≤100
124152241443,Čmelák - Společnost Přátel Přírody,Čmelák - Společnost přátel přírody,≤100
117823623864,Transparency International ČR,Transparency International ČR,≤100
378827025796132,Peak.cz,Peak.cz,≤100
52479821102,Týdeník Respekt,Týdeník Respekt,≤100
103093016017760,Info News,These ads ran without a disclaimer,≤100
220953819920676,Ministr Zdraví,Ministr Zdraví Z.U.,≤100
284944781875,EURACTIV.cz,EURACTIV.cz,≤100
106901094332851,Recykluj - nespaluj,Recykluj - nespaluj hys,≤100
102620981865843,Jana Skopalíková - radní pro životní prostředí a zemědělství,Jana Skopalíková,≤100
113743658978459,Meltingpot,Meltingpot,≤100
137301989386,Aktuálně.cz,Aktuálně.cz,≤100
124212050978293,Kverulant org,Kverulant org,≤100
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie - SPD,≤100
201535993705342,Radim Sršeň,Radim Sršeň,≤100
106569184915270,Lucie Kantorová,Lucie Kantorova,≤100
226207821151572,Marek Novák - poslanec zlínského kraje,Marek Novák,≤100
579215965436046,JSNS,"Člověk v tísni, o.p.s.",≤100
1776002445975063,V síti Ivana Langera,RiverSong s.r.o.,≤100
609246842426009,Rekonstrukce státu,Rekonstrukce státu,≤100
203833483473,Deník Referendum,Denik Referendum,≤100
711658465662315,XTV,XTV,≤100
545254525495201,Pravý břeh - Institut Petra Fialy,"Pravý břeh, z.s.",≤100
102844685102730,Olga Richterová - místopředsedkyně Sněmovny,Česká pirátská strana,≤100
586817644761028,Vladimír Balaš,STAN,≤100
1900532106849242,Institut H21,Institute H21,≤100
267806570729225,Národní Noviny,Hrubon Rudolf,≤100
1783607115196268,"AZ LEGAL, advokátní kancelář","AZ LEGAL, advokátní kancelář",≤100
103779080972210,Youradio Talk,Youradio Talk,≤100
1558359124403846,Každá plechovka se počítá,These ads ran without a disclaimer,≤100
265056436921261,NOVÁ SÍŤ,Nová síť z.s.,≤100
548487565163265,"Buď Čech, buď laska",Tomáš Rufer,≤100
343857975108,AFS Mezikulturní programy - Czech Republic,AFS Mezikulturní programy o.p.s.,≤100
111617451012493,Libor Turek,ODS,≤100
362029244271239,Protext ČTK,ČTK,≤100
745225392241191,Primagas Česká republika,PRIMAGAS s.r.o.,≤100
1962450550674040,TVarchitect.com,Lukáš Trunec,≤100
353349792067181,Institut Paměti národa Brno,Post Bellum,≤100
58864692622,Český rozhlas Vltava,Český rozhlas,≤100
327500584463162,Filip Hausknecht • Budoucnost,Budoucnost,≤100
487445514669670,Petr Fiala,ODS - Občanská demokratická strana,≤100
450976218808166,"Mgr. Milan Halbich, MBA - kandidát do senátu",Milan Halbich,≤100
106964170770258,Mystická krása Eurasie,These ads ran without a disclaimer,≤100
100609955039699,Corrency,Corrency,≤100
111927411705047,KALT Pneu,These ads ran without a disclaimer,≤100
2508000755881727,Štěpán Juránek,Štěpán Juránek,≤100
125957534920,Deník Sport,CZECH NEWS CENTER a. s.,≤100
107563435940797,Skanska v ČR a SR,Skanska,≤100
1121880157996860,ESSOX,These ads ran without a disclaimer,≤100
271054846258904,Praha 3,Městská část Praha 3,≤100
109407832428137,Bauernnetzwerk,These ads ran without a disclaimer,≤100
106449882358683,Новости Дня.,These ads ran without a disclaimer,≤100
