Page ID,Page name,Disclaimer,Amount spent (BOB)
130336323685885,Gobernación de Santa Cruz,Gobernación de Santa Cruz,991
279677395908479,Virginio Lema Trigo,Walter Agustin Zambrana Arze,117
102939025487663,PACU Bolivia - MDRyT,Styx Corp,≤100
109201057318552,JCSV,Fernando Omar Rosales Perez,≤100
964080723662055,Carlos Subirana Responde,Editorial CSS,≤100
101029268584854,José Carlos Sánchez Verazaín,Boris Christian Lehm Murillo,≤100
1663546307210960,Erik Morón,These ads ran without a disclaimer,≤100
106403237850347,Goberna Bolivia,Goberna,≤100
565643756889694,Viceministerio de Deportes del Estado Plurinacional de Bolivia,Viceministerio de Deportes del Estado Plurinacional de Bolivia,≤100
107585134511680,Jaime Mamani Espíndola,Wilmer Rivero Nino,≤100
320503974822994,EAE - Escuela de Abogados del Estado,EAE - Escuela de Abogados del Estado,≤100
101824857848955,Enrique Urquidi - Diputado,Enrique Fernando Urquidi Daza,≤100
100421178670997,Grande mi Oruro,Coordenada Digital,≤100
269633369881331,Senador Rodrigo Paz,Gabriela Pacello Guillen,≤100
113376820321312,Tierra Digna,Coordenada Digital,≤100
111585510603603,Elena Pachacute - Diputada Nacional,María Elena Pachacute Ticona,≤100
1548871702035547,Університет імені Альфреда Нобеля,These ads ran without a disclaimer,≤100
107419731587495,Alianza por Bolivia,These ads ran without a disclaimer,≤100
556475357727793,World Organisation for Animal Health,These ads ran without a disclaimer,≤100
