Page ID,Page name,Disclaimer,Amount spent (BAM)
109774791831087,Славенко Ристић - лидер Републичке странке Српске,Славенко Ристић - лидер Републичке странке Српске,≤100
101760022372875,omerfarukalpdogan,These ads ran without a disclaimer,≤100
2430163100537312,Spin Info,Spin Media,≤100
162926690478548,Oslobodjenje,Oslobodjenje,≤100
147315858633088,Istinomjer,Istinomjer,≤100
2401351939921390,Raport.ba,Raport Media Group,≤100
1676047195961611,Impuls,"Udruženje građana ""Impuls""",≤100
101998635231382,Reporting Diversity Network,These ads ran without a disclaimer,≤100
1570886583203959,Poslovni portal Capital.ba,Capital Media,≤100
109652028193268,Revizije info,Revizije info,≤100
1494057107558990,Javna rasprava,Javna rasprava,≤100
113041725065224,Pravna sigurnost je zakon / Правна сигурност је закон,OHR,≤100
104474278112457,Thiago Albuquerque,These ads ran without a disclaimer,≤100
482158128556799,Žurnal magazin,Centar za razvoj medija i analize,≤100
1922268018023038,Raskrinkavanje,UG Zašto ne,≤100
111544041335161,Antikorupcija info,Antikorupcija.info,≤100
