Page ID,Page name,Disclaimer,Amount spent (BRL)
255804437808407,Vale,Vale,673
136984123032921,Mercedes-Benz Brasil,Mercedes-Benz Brasil,568
151189004972368,Panasonic Brasil,Panasonic Brasil,259
111498884648739,Instituto Cultural Vale,Instituto Cultural Vale,211
842245655790289,Júnior Ferrari,Júnior Ferrari,186
175804982467404,Safernet Brasil,Safernet Brasil pago com créditos de anúncio do Facebook,169
425350744240843,Comitê Internacional da Cruz Vermelha,Comitê Internacional da Cruz Vermelha,147
301774903545521,Brasil Paralelo,Brasil Paralelo,109
333720355130,Petrobras,Petrobras,≤100
159103797542,Greenpeace Brasil,Greenpeace Brasil,≤100
110235426089026,Vereador Diego Alves,ELEICAO 2020 DIEGO FRANCISCO ANDRADE ALVES VEREADOR,≤100
102753402027906,Keniston Braga,Keniston Braga,≤100
656965247684115,Zequinha Marinho,Zequinha Marinho,≤100
111006700550820,Cenarium Amazônia,Cenarium Agência de Notícias Ltda,≤100
465235726843103,Ambev,Ambev,≤100
358687161234,Proteção Animal Mundial,Sociedade Mundial de Proteção Animal - WSPA BRASIL,≤100
218437121968149,Alexandre Siqueira,Alexandre Siqueira,≤100
105571535088309,Pará Terra Boa,Pará Terra Boa,≤100
104401494401878,Claudomiro Gomes,Claudomiro Gomes Da Silva,≤100
165175370206522,Citi Brasil,Citi Brasil,≤100
330379553673497,Oxfam Brasil,Oxfam Brasil,≤100
224021551012451,Gerando Falcões,Gerando Falcões,≤100
101230328792183,Portal Concursos & OAB,PORTAL CURSOS PREPARATORIOS E OAB LTDA,≤100
185875761943,MDB Nacional,MOVIMENTO DEMOCRÁTICO BRASILEIRO,≤100
163893463708223,Marcelo Vitorino,Vitorino & Mendonça,≤100
109272165397476,Gerson Aragao,These ads ran without a disclaimer,≤100
301774903545521,Brasil Paralelo,These ads ran without a disclaimer,≤100
123097244540886,Henderson Pinto,ELEICAO 2022 HENDERSON LIRA PINTO DEPUTADO FEDERAL,≤100
102856342511936,ICL Notícias,Instituto Conhecimento Liberta,≤100
313991695374674,Senac RJ,These ads ran without a disclaimer,≤100
441467489336861,Prefeitura de Sinop,Prefeitura Municipal de Sinop,≤100
104625758942119,Siga Antenado,Siga Antenado,≤100
