Page ID,Page name,Disclaimer,Amount spent (CAD)
235872037238940,She Is Indigenous,Les Femmes Michif Otipemisiwak / Women of the Métis Nation,≤100
1553928068248283,Environment and Natural Resources,Government of the Northwest Territories,≤100
1128142894021918,Ministère de l'Environnement et des Ressources naturelles - MERN,Gouvernement des Territoires du Nord-Ouest,≤100
263417217038472,Forest Products Association of Canada,Forest Products Association of Canada,≤100
163336718421,PSAC - AFPC,PSAC - AFPC,≤100
1097840090260804,National Police Federation,National Police Federation,≤100
103805636333615,Quality Canadian Milk - Lait canadien de qualité,Dairy Farmers of Canada,≤100
113297740077607,Canadian Energy Centre,Canadian Energy Centre,≤100
184856436064,Canadian Centre for Child Protection,Canadian Centre for Child Protection,≤100
105168452865235,Bell Aliant,Bell,≤100
139019864276,Oxfam Canada,Oxfam Canada,≤100
158469129085,TVO,TVO Today,≤100
107385241806,Plan International Canada,Plan International Canada,≤100
632493333805962,Environment and Climate Change,Environment and Climate Change Canada,≤100
261752512263,Canadian Red Cross,Canadian Red Cross,≤100
149532208407063,Maple Leaf Foods,These ads ran without a disclaimer,≤100
901776976544599,RBC Wealth Management,RBC Wealth Management,≤100
106231507615280,Delivering Community Power - Vers des collectivités durables,Canadian Union of Postal Workers,≤100
171838976178751,Canadian Women's Foundation,Canadian Women's Foundation,≤100
115835521825983,UNHCR Canada,UNHCR Canada,≤100
925033857594085,SureHealth Canada,SureHealth,≤100
149359161748927,Inuit Tapiriit Kanatami,Inuit Tapiriit Kanatami,≤100
184983851544640,London Abused Women's Centre,London Abused Women's Centre,≤100
6095483909,Canadian Taxpayers Federation,Canadian Taxpayers Federation,≤100
108635379686,CNIB,CNIB,≤100
100999094747422,Land Needs Guardians,Land Needs Guardians,≤100
85291563763,ICNA Relief Canada,ICNA Relief Canada,≤100
281999881613,World Vision Canada,World Vision Canada,≤100
1456690611311640,Canadian Health Coalition,Canadian Health Coalition,≤100
5661704203,Conservative Party of Canada - Parti conservateur du Canada,Conservative Party of Canada - Parti conservateur du Canada,≤100
114849617772737,Care2 Canada,Press Pause Collective,≤100
394745970602999,The Council of Canadians,The Council of Canadians,≤100
1589839557920915,National Disability Credit Alliance,National Disability Credit Alliance,≤100
217879704903540,Teach For Canada / Enseigner pour le Canada,Teach for Canada,≤100
19750184960,Greenpeace Canada,Greenpeace Canada,≤100
218916525819,Canadian Association of Physicians for the Environment (CAPE),Canadian Association of Physicians for the Environment,≤100
113305766875943,SIDE-Sommet international de l'écocitoyenneté,SIDE-Sommet international de l'écocitoyenneté,≤100
214839395204315,Centre canadien de protection de l'enfance,Canadian Centre for Child Protection,≤100
177075442332123,Experiences Canada,Experiences Canada,≤100
108623238800454,Big River Analytics,Big River Analytics,≤100
405377872902754,Canada Action,Canada Action,≤100
1771820039731500,Al-Ayn Social Care Foundation - Canada,Al-Ayn Social Care Foundation Canada,≤100
152059575576,World University Service of Canada (WUSC-EUMC),WUSC - EUMC,≤100
868589909847623,Action Canada for Sexual Health and Rights,Action Canada for Sexual Health and Rights,≤100
21751825648,Justin Trudeau,Liberal Party of Canada | Parti libéral du Canada,≤100
202220023130891,Bell Canada,Bell Canada,≤100
510183342342621,Bell MTS,Lavanya Rajaian,≤100
103655764654302,Indigenous Leadership Initiative,The Indigenous Leadership Initiative,≤100
190035081047277,International Fellowship of Christians and Jews of Canada,International Fellowship of Christians and Jews of Canada,≤100
53071821078,Monarchist League of Canada / Ligue monarchiste du Canada,The Monarchist League of Canada,≤100
105288666168351,SOS Children's Villages Canada,SOS Children's Villages Canada,≤100
102136459052072,ICI Grand Nord,Radio-Canada,≤100
652812671407912,Selam Debs,Selam Debs,≤100
143249880633,World Animal Protection Canada,World Animal Protection Canada,≤100
353695508437982,Oceans North,Oceans North,≤100
121222984568561,Amnesty International Canada,Amnesty International Canada,≤100
177681485609462,Radio-Canada,Radio-Canada,≤100
823970554364200,Ancient Forest Alliance,Ancient Forest Alliance,≤100
270323369737229,Elections Alberta,Elections Alberta,≤100
109259964070785,Skeena Strong,The Skeena,≤100
480690348805429,Proud To Be Canadian,Proud To Be Canadian,≤100
718120548335694,Canadians for Responsible Food Policy,Canadians for Responsible Food Policy,≤100
420437455160941,Planet Friendly News,Planet Friendly News,≤100
367461053332566,Community-Based Research Centre - CBRC,Community-Based Research Centre,≤100
184906186150,The Toronto Star,The Toronto Star,≤100
869127933125944,Indigenous Link,Karri Ellen Tougas,≤100
169042736456594,All Out,ConnectAd,≤100
1602582443382188,Clear Seas,Clear Seas,≤100
116190118504646,Wisdom2Action,Faelynn Eris Johnstone,≤100
316302965122489,Clean Energy Canada,Clean Energy Canada,≤100
114286393699596,The Peak,The Peak Media Collective Inc.,≤100
190502667652613,Canada’s NDP / Le NPD du Canada,Canada’s NDP / Le NPD du Canada,≤100
35715544220,Stand.earth,Stand.earth,≤100
60266912006,Liberal Party of Canada | Parti libéral du Canada,Liberal Party of Canada | Parti libéral du Canada,≤100
102586125587511,Canadian Trucking Alliance,Canadian Trucking Alliance,≤100
105020357850802,Pivot,Pivot,≤100
106764462731658,Honest Reporting Canada,Honest Reporting Canada,≤100
985797494956599,The News Forum,The News Forum,≤100
1671097993122619,Children Believe,Children Believe,≤100
5794733873,David Suzuki Foundation,David Suzuki Foundation,≤100
586362242026180,Radio-Canada OHdio,Radio-Canada,≤100
152467601467262,BMO Groupe financier,BMO Financial Group,≤100
1716180271929272,FORED BC,FORED BC Society,≤100
104592795876117,Voice Alberta,The Maverick me Foundation,≤100
568938803293644,True North,True North,≤100
156668851158430,Evidence for Democracy,Evidence for Democracy,≤100
52543970197,Environmental Defence Canada,Environmental Defence,≤100
2388772758004802,Josephine Pon,Calgary-Beddington Constituency Office,≤100
254985577276,Humanitarian Coalition/ Coalition Humanitaire,Humanitarian Coalition/ Coalition Humanitaire,≤100
1551116875101061,Canadian Medical Association,Canadian Medical Association,≤100
242109115885979,Canadian Light Source,Canadian Light Source,≤100
367171987944,Teamsters Canada,Teamsters Canada,≤100
172145722975250,PressProgress,PressProgress,≤100
105754167560390,Ekō Canada,Ekō,≤100
111231197686977,The Breach,The Breach,≤100
39168823065,Sierra Club Canada Foundation,Sierra Club Canada Foundation,≤100
1846441248912094,Dyslexia Canada,Dyslexia Canada,≤100
259282224084288,The Munk Debates,Munk Debates,≤100
103333338875632,Sisters Dialogue,These ads ran without a disclaimer,≤100
254553621598771,Shelter Movers,Shelter Movers,≤100
250592478295316,C2C Journal,C2C Journal,≤100
1395790247377471,Canadian Shooting Sports Association,Canadian Shooting Sports Association,≤100
447980405253906,Public Service Alliance of Canada - Prairie Region,Public Service Alliance of Canada - Prairie Region,≤100
728747700517089,Michael Barrett,Michael Barrett,≤100
159713615718,WWF-Canada,WWF-Canada,≤100
268400032839,Croix-Rouge canadienne,Croix-Rouge canadienne,≤100
115023341897487,BellAliantFR,Bell,≤100
796418163759235,GreenPAC,GreenPAC,≤100
111582684014878,Ryan Williams MP Bay of Quinte,Bay of Quinte Conservative Association,≤100
154462904588700,Enbridge Gas,Enbridge Gas,≤100
137487603474038,Ingenium,These ads ran without a disclaimer,≤100
674109146110155,Debunk Inc,Debunk Inc,≤100
103290118198670,Alberta Women's Health Foundation,Alberta Women's Health Foundation,≤100
658318450979357,Globe Content Studio,Globe Content Studio,≤100
183212951743526,PEI Liberals,PEI Liberals,≤100
181581728519026,Afeas,Afeas,≤100
310102681840,Maytree,These ads ran without a disclaimer,≤100
1662424300678700,Montreal Economic Institute,Montreal Economic Institute,≤100
103235101224889,WPG Canada,These ads ran without a disclaimer,≤100
101521614692017,Ditch Plastic Packaging,Hartmann North America,≤100
123235041462,The Fraser Institute,Fraser Institute,≤100
114632184171471,MP Jenna Sudds,"Jenna Sudds, MP",≤100
174662149255918,Vivre en Ville,Vivre en Ville,≤100
238222619555992,Climate Reality Canada / Réalité climatique Canada,The Climate Reality Project,≤100
49530722523,Ecojustice,Ecojustice,≤100
659207274119133,Banff-Kananaskis Alberta NDP Constituency Association,Banff Kananaskis NDP,≤100
