Page ID,Page name,Disclaimer,Amount spent (SLL)
331095246920291,Sylvia Olayinka Blyden,Blyden Sylvia Olayinka,40000
117645434555342,Majio Dut Com,These ads ran without a disclaimer,5445
111622410196045,State of Youth,These ads ran without a disclaimer,≤100
148548965168926,NSF,These ads ran without a disclaimer,≤100
329099494367541,Tribe of Brands,These ads ran without a disclaimer,≤100
102838882271105,NovelReader,These ads ran without a disclaimer,≤100
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100
101054365776547,Charming Changzhou,These ads ran without a disclaimer,≤100
131189377574,MDPI,These ads ran without a disclaimer,≤100
423670114403144,Trending in China,These ads ran without a disclaimer,≤100
105898939096628,Domani Media,These ads ran without a disclaimer,≤100
2420268291542853,China Resources Group,These ads ran without a disclaimer,≤100
113940237050170,CCECC Nigeria,These ads ran without a disclaimer,≤100
101835672253297,Christiana james motivation,These ads ran without a disclaimer,≤100
582736375535933,MANO RIVER UNION,These ads ran without a disclaimer,≤100
