Page ID,Page name,Disclaimer,Amount spent (NOK)
305434298719,Norges Bondelag,Norges Bondelag,465
135843375926,UNICEF Norge,UNICEF Norge,251
234659001772,Arbeiderpartiet,Arbeiderpartiet,225
100722841311675,"Kristiansand Pensjonistparti - Barn, Familie og Pensjonist",Kristiansand Pensjonistparti,191
171408368520,Norad,Norad,136
728518604216173,HELT MED,Stiftelsen HELT MED,122
371106536283235,DAG OG TID,Dag og Tid AS,112
10953652930,Høyre,Høyre,≤100
103638585942638,Folkets Parti Kristiansand,Folkets parti Kristiansand,≤100
132368899297,Framtiden i våre hender,Framtiden i våre hender,≤100
198148715581,Vestfold og Telemark FrP,Vestfold og Telemark FrP,≤100
44960467949,Greenpeace Norge,Föreningen Greenpeace Norden,≤100
486523288038606,KIWI,KIWI,≤100
153710294662597,Human-Etisk Forbund,Human-Etisk Forbund,≤100
113384899919,Noregs Mållag,Noregs Mållag,≤100
21603349508,NOAH - for dyrs rettigheter,NOAH - for dyrs rettigheter,≤100
132368899297,Framtiden i våre hender,Framtiden i Våre Hender,≤100
20468812735,LO,LO,≤100
300127442096,Norske Kvinners Sanitetsforening,Norske Kvinners Sanitetsforening,≤100
2398568533531114,Velferdsmiks,NHO Geneo,≤100
11526489541,Senterpartiet,Senterpartiet,≤100
46818767155,Miljøpartiet De Grønne - MDG,Miljøpartiet De Grønne,≤100
417968848252894,Besteforeldrenes klimaaksjon,Besteforeldrenes Klimaaksjon,≤100
119878348024795,ULOBA,Uloba - Independent Living Norge,≤100
200983583270624,NHO Service og Handel,NHO Service og Handel,≤100
105939782037295,Altinget.no,Altinget AS,≤100
108203984145752,Kruse Larsen,Kruse Larsen,≤100
187417144624729,Økologisk Norge,Økologisk Norge,≤100
54603926197,Finnmark SV,Troms og Finnmark SV,≤100
107028478959490,Troms SV,Rakel Hagen Olsen,≤100
227688410297,Radio Latin-Amerika,Radio Latin-Amerika,≤100
119878348024795,ULOBA,Uloba - Independent Living Norge SA,≤100
126448980866214,Klassekampen,Klassekampen AS,≤100
412991556169510,Ole Hovengen,Ole Hovengen,≤100
128566103830426,Civita,Civita AS,≤100
134531249931603,Troms og Finnmark fylkeskommune,Troms og Finnmark fylkeskommune,≤100
103642311168469,Børre St. Børresen - samfunnsengasjert,Open-eye-Open-mind,≤100
102040431616976,Beaufort Solutions,Beaufort Solutions,≤100
115337815202380,Birkenes Høyre,Birkenes Høyre,≤100
102038156126862,Guro Brandshaug - Ordførerkandidat i Sør-Varanger,Guro Brandshaug - Ordførerkandidat i Sør-Varanger,≤100
1764612177107232,FINN anbefaler,These ads ran without a disclaimer,≤100
307525272933,Humanist forlag,Humanist forlag,≤100
112631767587663,Meninger24,Meninger24,≤100
119062344777724,Bjerke FrP,Bjerke FrP,≤100
588928924452449,Gjøvik Arbeiderparti,Bjørn Stenvold,≤100
198028993872072,Liberalistisk Ungdom Rogaland,These ads ran without a disclaimer,≤100
173034686082674,UiO - Det humanistiske fakultet,"Det humanistiske fakultet, Universitetet i Oslo",≤100
117726821605303,PBL,Aurora Dyrnes,≤100
272225463439015,Margrethe Prahl Reusch - Venstre,Margrethe Prahl Reusch - Venstre,≤100
111660400222813,Cecilie Lyngby,These ads ran without a disclaimer,≤100
447470820360,Tromsø SV,Tromsø SV,≤100
1629110813846272,Lånke Arbeiderlag,Bjørnar Strøm Larsen,≤100
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,≤100
106031815565093,Geeksoutfit,These ads ran without a disclaimer,≤100
107237888124833,Vy Oanh Authentic - Túi xách cao cấp uy tín,These ads ran without a disclaimer,≤100
100691083019005,Green Living Genius,These ads ran without a disclaimer,≤100
