Page ID,Page name,Disclaimer,Amount spent (BOB)
105978465417563,Gobierno  Autónomo Departamental del Beni,Gobierno Autónomo Departamental del Beni,≤100
964080723662055,Carlos Subirana Responde,Editorial CSS,≤100
279677395908479,Virginio Lema Trigo,Walter Agustin Zambrana Arze,≤100
101824857848955,Enrique Urquidi - Diputado,Enrique Fernando Urquidi Daza,≤100
1947703858861720,Mayra Zalles - Diputada,Mayra Ingrid Zalles Trigo,≤100
106403237850347,Goberna Bolivia,Goberna,≤100
190739455190659,Molly Saldaña,Molly Margarita Saldaña Araujo,≤100
111585510603603,Elena Pachacute - Diputada Nacional,María Elena Pachacute Ticona,≤100
104257317751894,Santiago Condori Apaza,Sandro Iquise Vincenti,≤100
458248597966121,Economy,Economy,≤100
101289218907718,Web News,These ads ran without a disclaimer,≤100
134278719946186,Bayer,These ads ran without a disclaimer,≤100
