Page ID,Page name,Disclaimer,Amount spent (ZAR)
144985128871748,City of Cape Town,City of Cape Town,8888
740116816003959,Western Cape Government,Western Cape Government,1381
109374997915302,Mayor Geordin Hill-Lewis,Mayor Geordin Hill-Lewis,976
112315630440653,Cape Independence Advocacy Group,Cape Independence Advocacy Group,725
105398335585126,Western Cape Education Department,Western Cape Education Department,666
133307190069756,Amnesty International South Africa,Amnesty International South Africa,626
1613030308842801,Democratic Alliance Western Cape,Democratic Alliance,518
136956534616,Times LIVE,TimesLIVE,280
102265308016316,Al Jama-ah,Al Jama-ah,248
478479492268974,Sunday Times ZA,Arena Africa,167
6011868110,Democratic Alliance,Democratic Alliance,130
379138726819,ACDP,ACDP,124
2145594122138312,Action Society,Action Society,110
571775202881997,Democratic Alliance - Mossel Bay Constituency,Democratic Alliance - Mossel Bay Constituency,104
116657351312927,Pledge To Vote SA,Pledge to Vote,102
106172744063430,The Daily Friend,The Daily Friend,≤100
119736861394881,Financial Mail,BusinessLIVE,≤100
115864538089777,Dear SA - Have Your Say,Dear S Africa,≤100
101051196020136,Democratic Alliance Durbanville / Blaauwberg 2 Constituency,Democratic Alliance Durbanville / Blaauwberg 2 Constituency,≤100
105758608971668,Free Speech Union South Africa,Free Speech Union South Africa,≤100
446648162438519,Thisisacumen,Acumen Media Management,≤100
217696894929887,FW de Klerk Foundation,FW de Klerk Foundation,≤100
794336640617861,Cyril Ramaphosa Foundation,Cyril Ramaphosa Foundation,≤100
134187920103120,Dr. J. Reid (Neurologist),Johan Reid,≤100
153911331339003,ACDP Western Cape,African Christian Democratic Party,≤100
106851352063530,ismailjoosub,These ads ran without a disclaimer,≤100
86579745433,South African Institute of Race Relations,South African Institute of Race Relations,≤100
530927007388252,Vrye Weekblad,Vrye Weekblad (Nuwe Vrye Weekblad Mediagroep),≤100
109136451414156,Educate Don't Indoctrinate,Educate Don't Indocrinate,≤100
111249027309680,Milk Moon Studio,These ads ran without a disclaimer,≤100
100641775794941,Dr Gustav Bock,Dr Gustav Bock,≤100
1019691118063870,Traverse Le Goff MP,Traverse Le Goff MP,≤100
434577883273454,Sihle Zikalala,Sihle Zikalala,≤100
101437324554851,Councillor Ernest Smith,Councillor Ernest Smith,≤100
123971017684407,HeraldLIVE - Nelson Mandela Bay,HeraldLIVE,≤100
123465590650551,Allied Health Group USA,These ads ran without a disclaimer,≤100
160285362831,Steve Bloom,These ads ran without a disclaimer,≤100
450326391674911,Allianz,These ads ran without a disclaimer,≤100
118491327913065,AWOKE Apparel,These ads ran without a disclaimer,≤100
102839468523186,APEX อันดับหนึ่งเลเซอร์ขน,These ads ran without a disclaimer,≤100
100638533094811,Nick Hayes Music,These ads ran without a disclaimer,≤100
111068872040824,Super Quiz,These ads ran without a disclaimer,≤100
102826335811233,Isadora Pedrini,These ads ran without a disclaimer,≤100
