Page ID,Page name,Disclaimer,Amount spent (PYG)
1468570519872644,Santiago Peña,PRANA SA,104266
100490136261426,María Cristina Campuzano Senadora,María Cristina Campuzano Senadora,50615
102266292553995,Sucia Política,Diego Ricardo Ramírez,23686
1310731702357133,GEN,GEN,21692
532716330164048,Sole Núñez,Sole Núñez,19499
665680343451704,Lider Amarilla,Lider Santiago Amarilla Rios,17913
102917519228790,Bruno Defelippe,PautaPY,17063
101726857993140,Carlos Giménez  Senador,Carlos Giménez  Senador,16051
110447625137045,Pilar Callizo,PautaPY,15435
103759862278474,Victor Miranda Py,Clicnovo,15040
102963512483270,PyElige,PY Elige,14045
1608625919447826,Blanca Ovelar Senadora Nacional,Blanca Ovelar Senadora Nacional,10801
106506085341990,Raúl Portillo,Rodney Zorrilla Ortiz,9392
441529192988697,Rubén Penayo Senador 40/44,Rubén Penayo Senador 40/44,8495
196599783696918,Efrain Alegre,Comunicá,7899
196599783696918,Efrain Alegre,Efrain Alegre,7860
325540631525675,En La Tecla,En la Tecla,7661
1964503917155087,Stephan Rasmussen,Stephan Rasmussen Gonzales,7231
1222077187832207,Gustavo Leite,Gustavo Alfredo Leite Gusinky,7231
105545157610039,Euclides Acevedo,Marco Antonio Martinez Almiron,6296
113351910838827,Alma Cívica,Alma Cívica,5190
118397948223791,Oscar Tuma,Óscar Luis Tuma Bogado,4613
490637354648727,Ing.Juan Carlos Baruja,Juan Carlos Baruja Fernandez,3753
517426394969535,Ricardo Canese,Ricardo Canese,3734
114448232558658,Jorge Querey,Jorge Osvaldo Querey Rojas,3646
125314197496488,Carlos Filizzola,Carlos Filizzola,3629
1753251591598763,Dani Mujica,Dani Mujica,2527
1011833908887463,Atilio Alegre,IMAGEN DE GOBIERNO,2300
827201027312903,César LANDY Torres,Jose Dolores Zarate Gonzalez,2021
116874201329675,Jorge Galeano Senador 2023,Leticia Galeano Rodriguez,1710
192161474526084,Luis Fretes Senador,Luis Fretes Senador,1579
101031596152572,Abg. Emilio Tillería - Senador,Abg. Emilio Tillería - Senador,1577
103207518447025,Antonio Buzarquis Cáceres,Rodney Zorrilla Ortiz,1509
102649292598442,Senador Hugo Richer,Senador Hugo Richer,1435
101589739286507,Óscar González Senador,Maria Alejandra Correa Miño,1045
111421181205339,Vidala Franco 2023,Christian Guillermo Vazquez Sanchez,919
104456201144006,Alba Oviedo,Alba Nieve Oviedo De Torres,892
107280817646184,Estefi Careaga,Estefi Careaga,801
838018169889993,"Fernando ""Pato"" Ojeda",Fernando Ojeda,641
107378775349679,Rolando Alvarez Spinassi,Rolando Alvarez Spinassi,640
107280817646184,Estefi Careaga,Estefanía Maria Careaga Cacace,578
646939832039958,Hugo Ibarra - Diputado Nacional,Eladio Ortiz Gayoso,519
153958777947957,Paulo Reichardt,Paulo Reichardt,458
109734178710591,Sergio Coronel Concejal Departamental 2023,Sergio Coronel Ovelar,408
107956328706667,Sary Helman Diputada,Fabiana Marlene Cañete Helman,395
103429818624929,Edu Garay,Eduardo Garay,379
104430091943649,Juan Manuel Del Puerto. Senador 2023,Verenis Liliana Raquel Araujo Rojas,358
101986861866371,Tía Ida - Diputada 2023,Jazmin Thamara Elizabeth Ortiz De Bonzi,323
105249395726210,Edgar Leite Resquin,Edgar Trinidad Leite Resquin,282
2075223079432758,Joaquin Barrios,These ads ran without a disclaimer,282
103067808746490,Omar Velázquez,Omar Velazquez,273
140451442722331,Grupo Tesacom,These ads ran without a disclaimer,258
100899746165808,"Derlis Maidana ""Comando Itapúa""",Ana Beatriz Sosa De Kaczuruk,222
110001860605531,Zamt Advice,Zamt Advice,219
109400298573862,Dr. Víctor Ocampos Gobernador Paraguarí,Victor Luis Ocampos Gómez,218
278226125974096,El Paraguayo Independiente,Paraguayo Independiente,172
242118359309178,Ricardo Estigarribia,Douglas Mateus Hendges,140
1625990604314565,𝑨𝒑𝒐𝒚𝒂𝒏𝒅𝒐 𝒍𝒂 𝒍𝒖𝒄𝒉𝒂 𝒅𝒆𝒍 𝑺𝒖𝒃𝒐𝒇𝒊𝒄𝒊𝒂𝒍 𝑶𝒔𝒄𝒂𝒓 𝑷𝒂𝒓𝒆𝒅𝒆𝒔,These ads ran without a disclaimer,117
107706177740738,Periodismo 29,Periodismo 29,116
102443492579504,Elvio Caballero.,These ads ran without a disclaimer,≤100
102887709202228,Pedro Mayor Martinez- Candidato a Senador,Antonio Morinigo,≤100
363306313879750,Marle Chispita Orue,Marlene Tatiana Orue Leon,≤100
1368289846633212,Emilio Pavón-Diputado Nacional,Emilio Pavón Doldán,≤100
100566575581065,Ramón Montanía,Ramón Montania Fernandez,≤100
106682318781403,Rafaela Guanes Senadora,Rafaela Guanes,≤100
2528336503860228,Canal Más,These ads ran without a disclaimer,≤100
339555449802573,Católicas por el Derecho a Decidir Bolivia,These ads ran without a disclaimer,≤100
183391831715311,Utel Universidad,These ads ran without a disclaimer,≤100
1810962229216340,Fidel Zavala,Laura Lorena Meaurio Paniagua,≤100
108982768685910,Cynthia Rios Diputada,Wilson Armoa,≤100
