Page ID,Page name,Disclaimer,Amount spent (LBP)
1428873024044736,المدن - almodon,المدن - almodon‎,179104
106197498149118,لبنان الكبير,Grand Lebanon,104478
199579566767546,أنا والخبر,هيثم محمد طالب,59701
101538412538521,شطرنج / مع محمد صابونجي,إياد خالد,44776
137195823051820,Maharat Foundation,Maharat Foundation,44776
107800617419717,MYKA Foundation,Elie M. ElHelou,44776
1744356319118477,هنا لبنان,هنا لبنان,29851
212513695502997,Annahar Newspaper | جريدة النهار,Annahar Newspaper | جريدة النهار,29851
116141051407408,Amin Salam,Rami Salam,29851
322181790311,Lebanese Forces News,Lebanese Information Technology Services s.a.r.l,14925
109112633772887,180post,180Post,14925
1918990294985442,Megaphone - ميغافون,Megaphone - ميغافون,14925
2082052578716332,محمد شفيق حمود,Arab Window,14925
105319651353770,Jusur,Jusur,≤100
1569688113329878,Evony - The King's Return,These ads ran without a disclaimer,≤100
156850176567,المجلة,These ads ran without a disclaimer,≤100
107698404702208,Alkalima,Alkalima Onlime,≤100
110470091436602,Ici Beyrouth,Ici beyrouth,≤100
278035695547539,Legal Agenda  المفكرة القانونية,Legal Agenda  المفكرة القانونية,≤100
302216297364970,إذاعة أرمينيا العامة,These ads ran without a disclaimer,≤100
427648547297783,Hasan Ismaik - حسن إسميك,These ads ran without a disclaimer,≤100
101821442049816,Hadath online,Wassim El Adhami,≤100
153063591397681,Amazon Web Services,These ads ran without a disclaimer,≤100
103553614349757,Hafryat plus,These ads ran without a disclaimer,≤100
100706719315707,The Policy Initiative مبادرة سياسات الغد,The Policy Initiative مبادرة سياسات الغد,≤100
