Page ID,Page name,Disclaimer,Amount spent (FJD)
1743956595869001,Sitiveni 480 Rabuka,The Peoples Alliance,≤100
200791327158338,Bill Gavoka,Viliame Rogoibulu Gavoka,≤100
373802769341908,Fijian Elections Office,Fijian Elections Office,≤100
108993025227860,Bhavick Kapadia - Candidate 191 - NFP,Bhavick Kapadia,≤100
128371938956830,Social Democratic Liberal Party,SODELPA,≤100
105390382395414,Faiyaz Koya - Vote 216,Mohammed Reyhan Shaheed,≤100
102339792717043,ESROM. Y. Immanuel,These ads ran without a disclaimer,≤100
113451204686577,Vote 479 Filipe Tuisawau,Vote 479 Filipe Tuisawau,≤100
111879700694408,Jone Usamate,These ads ran without a disclaimer,≤100
109395225332926,Ofw Boss Mom,These ads ran without a disclaimer,≤100
211278712925199,Amnesty International,These ads ran without a disclaimer,≤100
111474633636880,Fiji Independent Commission Against Corruption - FICAC,Fiji Independent Commission Against Corruption (FICAC),≤100
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100
105025722438927,Fijian Times,These ads ran without a disclaimer,≤100
