Page ID,Page name,Disclaimer,Amount spent (ZAR)
133307190069756,Amnesty International South Africa,Amnesty International South Africa,978
6011868110,Democratic Alliance,Democratic Alliance,650
136956534616,Times LIVE,TimesLIVE,494
165736836881428,GroundUp,GroundUp News NPC,306
379138726819,ACDP,ACDP,293
336794296437261,DA GPL,DA Gauteng Provincial Legislature,233
1742410059361710,AwakeMzansi,Awake Mzansi,175
2145594122138312,Action Society,Action Society,144
116657351312927,Pledge To Vote SA,Pledge to Vote,142
106247942465530,Ask SA,Freedom Advocacy Network,138
119736861394881,Financial Mail,BusinessLIVE,132
106172744063430,The Daily Friend,The Daily Friend,123
115864538089777,Dear SA - Have Your Say,Dear S Africa,104
144954928909651,FAK,FAK,≤100
181204251979581,NEASA,National Employers' Association of South Africa,≤100
105758608971668,Free Speech Union South Africa,Free Speech Union South Africa,≤100
284922444920221,Engelbrecht Employment Law Professionals,These ads ran without a disclaimer,≤100
109374997915302,Mayor Geordin Hill-Lewis,Mayor Geordin Hill-Lewis,≤100
134187920103120,Dr. J. Reid (Neurologist),Johan Reid,≤100
102265308016316,Al Jama-ah,Al Jama-ah,≤100
109353154135430,E.N. Publishing,These ads ran without a disclaimer,≤100
246425659800809,Central News,Central News,≤100
109136451414156,Educate Don't Indoctrinate,Educate Don't Indocrinate,≤100
86579745433,South African Institute of Race Relations,South African Institute of Race Relations,≤100
111249027309680,Milk Moon Studio,These ads ran without a disclaimer,≤100
100641775794941,Dr Gustav Bock,Dr Gustav Bock,≤100
1019691118063870,Traverse Le Goff MP,Traverse Le Goff MP,≤100
153911331339003,ACDP Western Cape,African Christian Democratic Party,≤100
450326391674911,Allianz,These ads ran without a disclaimer,≤100
102407559822494,Training Centre in Communication (TCC Africa),These ads ran without a disclaimer,≤100
111068872040824,Super Quiz,These ads ran without a disclaimer,≤100
114528771557296,The Sneakertoast Grub,These ads ran without a disclaimer,≤100
103593949037015,Pambis Kyritsis,These ads ran without a disclaimer,≤100
306446169906490,KOKOS KOUTURE CLOSET X YOUTUBE,These ads ran without a disclaimer,≤100
