Page ID,Page name,Disclaimer,Amount spent (FJD)
1743956595869001,Sitiveni 480 Rabuka,The Peoples Alliance,163
373802769341908,Fijian Elections Office,Fijian Elections Office,≤100
200791327158338,Bill Gavoka,Viliame Rogoibulu Gavoka,≤100
108993025227860,Bhavick Kapadia - Candidate 191 - NFP,Bhavick Kapadia,≤100
105390382395414,Faiyaz Koya - Vote 216,Mohammed Reyhan Shaheed,≤100
113451204686577,Vote 479 Filipe Tuisawau,Vote 479 Filipe Tuisawau,≤100
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100
110465541836214,Mayara Betina Franco,These ads ran without a disclaimer,≤100
111474633636880,Fiji Independent Commission Against Corruption - FICAC,Fiji Independent Commission Against Corruption (FICAC),≤100
1452232881531908,UNICEF East Asia & Pacific,These ads ran without a disclaimer,≤100
104293631509386,Lami Town Council,Lami Town Council,≤100
106427835614306,Sashi Kiran- 207,These ads ran without a disclaimer,≤100
211278712925199,Amnesty International,These ads ran without a disclaimer,≤100
