Page ID,Page name,Disclaimer,Amount spent (BAM)
113041725065224,Pravna sigurnost je zakon / Правна сигурност је закон,OHR,≤100
482158128556799,Žurnal magazin,Centar za razvoj medija i analize,≤100
111544041335161,Antikorupcija info,Antikorupcija.info,≤100
1922268018023038,Raskrinkavanje,UG Zašto ne,≤100
197596636939679,tacno.net,Tacno.net,≤100
104992122558073,Valter.Portal,Valter.Portal,≤100
162926690478548,Oslobodjenje,Oslobodjenje,≤100
109652028193268,Revizije info,Revizije info,≤100
147315858633088,Istinomjer,Istinomjer,≤100
709560912457316,Analiziraj.ba,Udruženje Centar za analizu medija i politike,≤100
1473660889517303,Irfan Čengić,Irfan Čengić,≤100
1570886583203959,Poslovni portal Capital.ba,Capital Media,≤100
184286258994892,Др Ненад Стевандић,Ujedinjena Srpska,≤100
222968021092962,RTV Slon - Tuzla,RTV SLON,≤100
2401351939921390,Raport.ba,Raport Media Group,≤100
1676047195961611,Impuls,"Udruženje građana ""Impuls""",≤100
100733242113653,Porodice 3 plus,Porodice 3 plus,≤100
106759774541544,PratimoTendere.ba,Centar za razvoj medija i analize,≤100
1562489730733029,Internationale Büros,These ads ran without a disclaimer,≤100
747053091978616,Fokus.ba,FOKUS d.o.o. Sarajevo,≤100
326185650853734,Zukan Helez,OO SDP BiH Bugojno,≤100
1494057107558990,Javna rasprava,Javna rasprava,≤100
124306738411862,InfoRadar,Udruženje za medijski aktivizam (UMA),≤100
103088084884704,Fondacija Atelje za društvene promjene - ACT,Fondacija Atelje za društvene promjene - ACT,≤100
332950850203871,Драшко Станивуковић - Draško Stanivuković,Драшко Станивуковић,≤100
109774791831087,Славенко Ристић - лидер Републичке странке Српске,Славенко Ристић - лидер Републичке странке Српске,≤100
102211309402201,Amir Purić,Amir Purić,≤100
101998635231382,Reporting Diversity Network,These ads ran without a disclaimer,≤100
294088307352,Direkt Portal,"Udruženje građana ""Druga priča"" - Direkt portal",≤100
417853371621843,Mirnes Ajanović,Mirnes Ajanović,≤100
104474278112457,Thiago Albuquerque,These ads ran without a disclaimer,≤100
143699145672946,Centri civilnih inicijativa (CCI),Centri civilnih inicijativa,≤100
608650595820049,The Conqueror Challenges,These ads ran without a disclaimer,≤100
85069283164,Admir Čavalić,Admir Čavalić,≤100
257210261130698,Hrvatska republikanska stranka,Hrvatska republikanska stranka,≤100
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100
315603771494,Milaap,These ads ran without a disclaimer,≤100
119662071458989,Mostar Blues & Rock Festival,These ads ran without a disclaimer,≤100
207268042645317,Macquarie Group,These ads ran without a disclaimer,≤100
187794814693956,Svjetski Bošnjački Kongres - SBK,These ads ran without a disclaimer,≤100
177135323668,CEE Bankwatch Network,These ads ran without a disclaimer,≤100
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100
139666286225597,Euranet Plus - Official,These ads ran without a disclaimer,≤100
