Page ID,Page name,Disclaimer,Amount spent (PYG)
325540631525675,En La Tecla,En la Tecla,23045
103759862278474,Victor Miranda Py,Clicnovo,21962
102266292553995,Sucia Política,Diego Ricardo Ramírez,19872
241512319274531,Sixto Pereira,Sixto Pereira,18575
108839041769929,José López 2023,Hugo Alfonso Aquino Diaz,17293
196599783696918,Efrain Alegre,Efrain Alegre,13272
102963512483270,PyElige,PY Elige,7459
100566575581065,Ramón Montanía,Ramón Montania Fernandez,7321
114448232558658,Jorge Querey,Jorge Osvaldo Querey Rojas,7267
107558844100122,Pastor Filártiga,Pastor Filártiga,3264
1151984808290856,Hugo Portillo,Hugo Portillo,2393
517426394969535,Ricardo Canese,Ricardo Canese,2108
100445112671378,Fernando Camacho Senador 2023,Norma Graciela Ávalos Lezcano,2079
283132325082901,Esperanza Martínez,Esperanza Martinez De Portillo,1748
118397948223791,Oscar Tuma,Óscar Luis Tuma Bogado,1665
118890043360348,Pedro Santa Cruz,Pedro Arthuro Santa Cruz Insaurralde,1194
1614185262209913,Noelia Lambaré Concejal Departamental,Partido de la Participación Ciudadana,1178
153958777947957,Paulo Reichardt,Paulo Reichardt,1086
102887709202228,Pedro Mayor Martinez- Candidato a Senador,Antonio Morinigo,805
1575743279360941,Carlos Cáceres Sarubbi Senador 2023,Carlos Agustin Caceres Sarubbi,689
101589739286507,Óscar González Senador,Maria Alejandra Correa Miño,668
150741961754512,Mercedes Canese Antúnez,Mercedes Canese,664
1408670452551206,Rodrigo Gamarra,Rodrigo Daniel Gamarra Krayacich,440
1518537951510136,Sidinei Heinemann Zuse,Sidinei Heinemann Zuse,385
108824810612735,Ing. Jorge Palazón,Jorge Palazon,384
102649292598442,Senador Hugo Richer,Senador Hugo Richer,310
181461032397199,Billy Vaesken,Billy Vaesken,228
103429818624929,Edu Garay,Eduardo Garay,224
123892278310235,Eduardo Valiente,Rocio Soledad Martinez Larroza,221
359307964420456,Terere Cómplice,Meli Olavarrieta,217
116518228011558,jokergroover,These ads ran without a disclaimer,166
107326631853562,Hugo Sosa Pasmor,Maria Alejandra Correa Miño,153
255852854856739,"Marco Augusto Ferreira, Autor",Marco Augusto Ferreira Acuña,133
109400298573862,Dr. Víctor Ocampos Gobernador Paraguarí,Victor Luis Ocampos Gómez,126
106493971887575,Zurda Social Media,Zurda Social Media,≤100
1510805942583059,Norma Zarate de Monges,Norma Zarate,≤100
110259408342427,Walter Garcia,Walter Garcia,≤100
363306313879750,Marle Chispita Orue,Marlene Tatiana Orue Leon,≤100
974896235961055,UPL-Ltd,These ads ran without a disclaimer,≤100
150229055012487,UNICEF Paraguay,UNICEF Paraguay,≤100
101978933230493,DHL,These ads ran without a disclaimer,≤100
137071910500968,Alvaro Grau,Oscar David Baez Alvarenga,≤100
106682318781403,Rafaela Guanes Senadora,Rafaela Guanes,≤100
