Page ID,Page name,Disclaimer,Amount spent (FJD)
1743956595869001,Sitiveni 480 Rabuka,The Peoples Alliance,1265
101911352706122,Manoa 454 Kamikamica,Manoa Kamikamica,519
678542618881925,FijiFirst,FijiFirst Party,325
108993025227860,Bhavick Kapadia - Candidate 191 - NFP,Bhavick Kapadia,232
200791327158338,Bill Gavoka,Viliame Rogoibulu Gavoka,176
373802769341908,Fijian Elections Office,Fijian Elections Office,≤100
128371938956830,Social Democratic Liberal Party,SODELPA,≤100
100933916035770,Mohammed R. Khan,Mohammed Rieaz Khan,≤100
2020211584945890,Aiyaz Sayed-Khaiyum,Aiyaz Sayed-Khaiyum,≤100
113451204686577,Vote 479 Filipe Tuisawau,Vote 479 Filipe Tuisawau,≤100
101115795699266,Rinesh Sharma,Rinesh Sharma,≤100
105390382395414,Faiyaz Koya - Vote 216,Mohammed Reyhan Shaheed,≤100
103064599146248,Ifereimi Vasu,These ads ran without a disclaimer,≤100
111474633636880,Fiji Independent Commission Against Corruption - FICAC,Fiji Independent Commission Against Corruption (FICAC),≤100
110378568343831,Temalesi Rabalolo Dinati,Temalesi Rabalolo Dinati,≤100
314687429173912,Traveler Door,These ads ran without a disclaimer,≤100
372125409639,World Transformation Movement,These ads ran without a disclaimer,≤100
19595510126,Annual Reviews,These ads ran without a disclaimer,≤100
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100
1509413712605916,ICAO - International Civil Aviation Organization,These ads ran without a disclaimer,≤100
513491955397746,Pacific Energy,These ads ran without a disclaimer,≤100
105363750882345,Young Activists Summit,These ads ran without a disclaimer,≤100
