Page ID,Page name,Disclaimer,Amount spent (JPY)
1904070096535109,スマート選挙,株式会社センキョ,4173
164083890435804,佐藤 由美,These ads ran without a disclaimer,3495
114857594957039,Pssluc,These ads ran without a disclaimer,3003
475681929154100,国連UNHCR協会,国連UNHCR協会,1734
408265263318884,馬渕 磨理子,These ads ran without a disclaimer,1430
100577859467667,大阪経済大学・社会連携,大阪経済大学・社会連携,702
1850490095242229,武田塾 クルイトグループ,These ads ran without a disclaimer,514
102392041165538,キリンの健康,These ads ran without a disclaimer,381
110058508784307,ライズ・アップ・ジャパン,株式会社経営科学出版,364
1812425055659979,介護ワーカー,These ads ran without a disclaimer,343
195088317190451,グリーンピース・ジャパン,一般社団法人グリーンピース・ジャパン,274
564573650267528,Abvnyuvmyw yeqtdym gqdtn,These ads ran without a disclaimer,140
1615481598672156,Blueair Japan Official,These ads ran without a disclaimer,140
1962443783866855,Naive3,These ads ran without a disclaimer,140
202026293187145,鯖江市地域活性化プランコンテスト,特定非営利活動法人エル・コミュニティ,≤100
281777375260988,オッズパーク,These ads ran without a disclaimer,≤100
108695458656675,ポジティブの大切さ,These ads ran without a disclaimer,≤100
104533215755145,ZOE_Japan,ZOE Japan,≤100
105404618222182,Ascent Recordings,Ascent Recordings,≤100
925768300845377,FOLIO,These ads ran without a disclaimer,≤100
103543765004220,めちゃコミック - めちゃコミ PR用,These ads ran without a disclaimer,≤100
102891618059843,ケイミュー株式会社,These ads ran without a disclaimer,≤100
104331362680222,都知事杯オープンデータ・ハッカソン 事務局,These ads ran without a disclaimer,≤100
112247175047684,社福の学校,These ads ran without a disclaimer,≤100
390066501056164,freee会計,These ads ran without a disclaimer,≤100
1672330153015605,透明アクリル業者票,アドアチーブ株式会社,≤100
100199881840737,Minghui Japan（ミンフイ　ジャパン）ー明慧日本,明慧日本,≤100
185435915322385,リライアンス・セキュリティー株式会社採用ページ,リライアンス・セキュリティー株式会社採用ページ,≤100
185422931575190,東京カメラ部,These ads ran without a disclaimer,≤100
256504371891671,the-issues.jp,the-issues.jp,≤100
110302617966089,かのう陽之助,かのう陽之助,≤100
101289366621166,大和ハウスグループ,These ads ran without a disclaimer,≤100
118795951190618,Cat Match first,These ads ran without a disclaimer,≤100
110969055330312,Dinosaur Fight speak,These ads ran without a disclaimer,≤100
114243345021397,Matthew's office株式会社（マシューズオフィス）,These ads ran without a disclaimer,≤100
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100
101963349558320,magicwands_information,These ads ran without a disclaimer,≤100
216311481960,Bill Gates,These ads ran without a disclaimer,≤100
