Page ID,Page name,Disclaimer,Amount spent (CAD)
162936387068600,Ontario Public Service Employees Union (OPSEU),Ontario Public Service Employees Union (OPSEU/SEFPO),3888
1711780249072322,Anthony Furey,Furey for Mayor,2607
186752164845450,Ana Bailao,Ana Bailao,2198
15535160141,Olivia Chow,Olivia Chow for Mayor,1531
163261390365324,Elementary Educators,Elementary Educators,1489
118331481194703,Mark Saunders,Mark Saunders,1487
110561408638361,Coalition of First Nations for Finfish Stewardship,Coalition of First Nations for Finfish Stewardship,841
154462904588700,Enbridge Gas,Enbridge Gas,824
186266941387011,BMO Financial Group,BMO Financial Group,690
6319213302,Heart & Stroke,Heart & Stroke,620
102828041144081,Here For Students,Here For Students,599
439345863190331,Brad Bradford,Brad Bradford Campaign,551
104386908631938,Pathways Alliance,Pathways Alliance,513
582973558421642,Mitzie Hunter,Mitzie For Mayor,492
100150989152010,Bonterra Tissue,Bonterra Tissue,442
160136850711053,CUPE Ontario,CUPE Ontario,390
1456690611311640,Canadian Health Coalition,Canadian Health Coalition,377
303473312998028,FedEx,FedEx,373
249042335139282,BDC,BDC,360
180862678644381,Ontario NDP,Ontario NDP,320
1583430205202800,City of Toronto,City of Toronto - Your Local Government,315
121222984568561,Amnesty International Canada,Amnesty International Canada,299
115904068198392,Canadian News,These ads ran without a disclaimer,299
101535288988376,Ontario's Clean Energy Advantage,Association of Power Producers of Ontario,295
27234020592,UNICEF Canada,UNICEF Canada,293
2112106495731697,Wild First,Canadian Coastal Research Society,284
844239722367708,Innovative Medicines Canada / Médicaments novateurs Canada,Innovative Medicines Canada / Médicaments novateurs Canada,278
103805636333615,Quality Canadian Milk - Lait canadien de qualité,Quality Canadian Milk - Lait canadien de qualité,275
171838976178751,Canadian Women's Foundation,Canadian Women's Foundation,274
98963682935,Canadian Feed The Children,Canadian Feed The Children,274
194782249201,Canadian Association of Petroleum Producers (CAPP),Canadian Association of Petroleum Producers,274
104169373751350,Progress Toronto,Progress Toronto,266
24235835555,Kids Help Phone,Kids Help Phone,256
113297740077607,Canadian Energy Centre,Canadian Energy Centre,248
163336718421,PSAC - AFPC,PSAC - AFPC,242
5794733873,David Suzuki Foundation,David Suzuki Foundation,241
281999881613,World Vision Canada,World Vision Canada,223
52543970197,Environmental Defence Canada,Environmental Defence,219
605582973434788,Doctors Without Borders/Medecins Sans Frontieres (MSF),These ads ran without a disclaimer,207
5661704203,Conservative Party of Canada - Parti conservateur du Canada,Conservative Party of Canada - Parti conservateur du Canada,203
2219877871611388,Ontario Prevention Clinic / The PrEP Clinic,The PrEP Clinic,202
115835521825983,UNHCR Canada,UNHCR Canada,173
1522162571382952,Oceana Canada,Oceana Canada,158
633812813408377,Elections Canada,Elections Canada,150
7522587804,Green Party of Ontario,Green Party of Ontario,146
103450566427670,City of Markham,City of Markham,146
19750184960,Greenpeace Canada,Greenpeace Canada,142
202220023130891,Bell Canada,Bell Canada,142
121658954562795,Mark Gerretsen,Mark Gerretsen,138
43448349479,Josh Matlow,Josh Matlow Campaign,132
139019864276,Oxfam Canada,Oxfam Canada,132
1440525836209987,OLG,These ads ran without a disclaimer,129
568938803293644,True North,True North,125
6095483909,Canadian Taxpayers Federation,Canadian Taxpayers Federation,125
189238771095303,The School of Public Policy - University of Calgary,School of Public Policy - The University of Calgary,122
10633250963,Save the Children Canada,Save the Children Canada,121
432251040227428,Nathaniel Erskine-Smith,Nate Erskine-Smith Leadership Campaign,120
114849617772737,Care2 Canada,Press Pause Collective,118
262370800536,CanadaHelps,CanadaHelps,113
126625247383774,Export Development Canada - Exportation et développement Canada,Export Development Canada - EDC,109
10359721433,War Child Canada,War Child Canada,108
152759126824,Enbridge,Enbridge,108
106360778489053,Fuelling Canada,Canadian Gas Association,105
2157595277852262,Anthony Perruzza,Anthony Perruzza for Mayor,101
148001065253606,BILD GTA,BILD GTA,≤100
113451888040685,KW Energy Home Services,KW Energy Home Services,≤100
144952302745324,Nuclear Waste Management Organization,the Nuclear Waste Management Organization,≤100
146592973368,Sunnybrook Health Sciences Centre,Sunnybrook Foundation,≤100
1451700638390004,Arif Virani,Arif Virani,≤100
108841190581997,Fairness Alberta,Fairness Alberta,≤100
1553269028327267,Star Sponsored,The Toronto Star,≤100
1097840090260804,National Police Federation,National Police Federation,≤100
254245404682417,C.D. Howe Institute,C.D. Howe Institute,≤100
35715544220,Stand.earth,Stand.earth,≤100
658318450979357,Globe Content Studio,Globe Content Studio,≤100
266408097438964,Canadian Consumer Rewards Coalition,Canadian Consumer Rewards Coalition,≤100
2120611884638218,Scot Davidson,MP Scot Davidson,≤100
261752512263,Canadian Red Cross,Canadian Red Cross,≤100
105754167560390,Ekō Canada,Ekō,≤100
102045692901251,Toronto's Next Mayor Samson Deb,Toronto's Next Mayor Samson Deb,≤100
108587420188,United Way Greater Toronto,United Way Greater Toronto,≤100
100257483085726,Matlow vs Housing,Kevin Wiener,≤100
101728722901422,Mark LeLiever for Mayor - Get Toronto Moving,Get Toronto Moving,≤100
123235041462,The Fraser Institute,Fraser Institute,≤100
136476216406652,National Union of Public and General Employees,NUPGE,≤100
1919973584883295,The Maple,The Maple,≤100
376006035816016,Storyworth,These ads ran without a disclaimer,≤100
922478954450376,CHBA National,CHBA National,≤100
100999094747422,Land Needs Guardians,Land Needs Guardians,≤100
107385241806,Plan International Canada,Plan International Canada,≤100
263417217038472,Forest Products Association of Canada,Forest Products Association of Canada,≤100
138123739691583,Karina Gould,Karina Gould,≤100
367461053332566,Community-Based Research Centre - CBRC,Community-Based Research Centre,≤100
169042736456594,All Out,ConnectAd,≤100
197337921788,Dying With Dignity Canada,Dying With Dignity Canada,≤100
106764462731658,Honest Reporting Canada,Honest Reporting Canada,≤100
228128483994287,RBC Race for the Kids Toronto,RBC Race for the Kids Toronto,≤100
21751825648,Justin Trudeau,Liberal Party of Canada | Parti libéral du Canada,≤100
868589909847623,Action Canada for Sexual Health and Rights,Action Canada for Sexual Health and Rights,≤100
1671097993122619,Children Believe,Children Believe,≤100
576387879545126,Penny Appeal Canada,Penny Appeal Canada,≤100
190035081047277,International Fellowship of Christians and Jews of Canada,International Fellowship of Christians and Jews of Canada,≤100
345209975371,Canadian Business,These ads ran without a disclaimer,≤100
298540300287087,Francesco Sorbara,Francesco Sorbara,≤100
985797494956599,The News Forum,The News Forum,≤100
572892516092329,"Yvan Baker, MP","Yvan Baker, MP",≤100
630230954127159,Business Council of Alberta,Business Council of Alberta,≤100
368355790316073,Municipality of Trent Hills,Municipality of Trent Hills,≤100
104321259649840,CATIE,CATIE,≤100
101898551911387,The Hub Canada,Hub Canada Media,≤100
168617319831578,Nature Canada,Nature Canada,≤100
184856436064,Canadian Centre for Child Protection,Canadian Centre for Child Protection,≤100
203135665808,Mississauga Parks & Recreation,City of Mississauga,≤100
532740903473850,Thunder Bay District Health Unit,Thunder Bay District Health Unit,≤100
106265291831309,Unite for Change,Unite for Change,≤100
142208566054,YMC,Ehm & Co Communications - YMC,≤100
278388139026064,Patrick Brown,Patrick Brown,≤100
109653582146042,Nominate Jamil Jivani,Nominate Jamil Jivani,≤100
148668741848610,JSpaceCanada,Press Pause Collective,≤100
39315431246,Fair Vote Canada/Représentation équitable au Canada,Fair Vote Canada/Représentation équitable au Canada,≤100
100778215208215,Melissa Lantsman,The Official Agent For The Melissa Lantsman campaign,≤100
111231197686977,The Breach,The Breach,≤100
333965336775693,Canadian Cattle Association,Canadian Cattle Association,≤100
273040866747615,Orangeville Vision Development Centre,These ads ran without a disclaimer,≤100
49530722523,Ecojustice,Ecojustice,≤100
104662061503084,The Mining Association of Canada,Mining Association of Canada,≤100
885367448177343,Bob Zimmer MP,Bob Zimmer MP,≤100
105100685485688,BioAro,These ads ran without a disclaimer,≤100
392629388021829,Ally Global Foundation,Ally Global Foundation,≤100
103824205987504,Creative Connector,Creative Connector,≤100
112302531765579,Tea With Li,Tea With Li,≤100
1824349487859307,Kinga Surma,Etobicoke Centre PC Riding Association,≤100
122085817803226,Windspeaker,Windspeaker,≤100
925033857594085,SureHealth Canada by GreenShield,SureHealth,≤100
60266912006,Liberal Party of Canada | Parti libéral du Canada,Liberal Party of Canada | Parti libéral du Canada,≤100
136772905237,Historica Canada,Historica Canada,≤100
1589839557920915,National Disability Credit Alliance,National Disability Credit Alliance,≤100
1150994581612673,Conservative Journal of Canada,Conservative Journal of Canada,≤100
159713615718,WWF-Canada,WWF-Canada,≤100
605582973434788,Doctors Without Borders/Medecins Sans Frontieres (MSF),Doctors Without Borders/Médecins Sans Frontières (MSF) Canada,≤100
796418163759235,GreenPAC,GreenPAC,≤100
189141609842,Ville de Gatineau,Ville de Gatineau,≤100
1590219921201770,Élections Canada,Élections Canada,≤100
353695508437982,Oceans North,Oceans North,≤100
53321777320,Coeur + AVC,Coeur + AVC,≤100
134455149912301,Seva Canada,Seva Canada,≤100
1481996415461299,EntheoNation,These ads ran without a disclaimer,≤100
105288666168351,SOS Children's Villages Canada,SOS Children's Villages Canada,≤100
685839561442324,Tim S. Uppal,Tim S. Uppal,≤100
616355908468201,"John P Schuman, CS, Child and Family Law","John P. Schuman, Professional Corporation",≤100
778249265891813,"Brent Jones, Realtor",Brent Jones,≤100
