Page ID,Page name,Disclaimer,Amount spent (SEK)
608975645850217,Vattenfall,Vattenfall Sverige,913
151159271594797,Systembolaget,Systembolaget,896
122854408319,Hjärt-Lungfonden,Hjärt-Lungfonden,717
371791194529,Världsnaturfonden WWF,Världsnaturfonden WWF,572
126567104406,Hyresgästföreningen,Hyresgästföreningen,508
111630258867610,Röda Korset,Röda Korset,321
643137272398136,Sverige för UNHCR,Sverige för UNHCR,294
352682608599,Vänsterpartiet Västerås,Vänsterpartiet,232
239177706143268,Mobility Sweden,Mobility Sweden,230
59324455950,UNICEF Sverige,UNICEF Sverige,222
68115370786,Läkare Utan Gränser (MSF),Läkare Utan Gränser/ Médecins sans Frontières (MSF Sweden),206
150057951690751,OKQ8,OKQ8,204
95735961890,Greenpeace Sverige,Greenpeace Sverige,190
161213770567846,Operation Smile Sverige,Operation Smile Sverige,188
186513678039755,Fortum,Fortum Sverige,140
130927360876045,Tidningen Näringslivet,Tidningen Näringslivet,135
382243262003,Plan International Sverige,Plan International Sverige,133
109886133732943,RESCUE - Sverige,RESCUE - Sverige,131
19746853632,Djurens Rätt,Djurens Rätt,125
162985227114132,Skellefteå Kraft,Skellefteå Kraft,118
72659261793,Rädda Barnen,Rädda Barnen,105
18880778360,ActionAid Sweden,ActionAid Sweden,101
299065246064,"Seko, Service- och kommunikationsfacket","Seko, Service- och kommunikationsfacket",≤100
101341883359561,Matsmart Sverige,Matsmart,≤100
195379633820701,Svenskt Kött,Svenskt Kött,≤100
90882504375,Svenskt Näringsliv,Svenskt Näringsliv,≤100
133867976608,Naturskyddsföreningen,Naturskyddsföreningen,≤100
153270724787,Amnesty International Sverige,Amnesty International Sverige,≤100
188616781161573,World Animal Protection Sverige,World Animal Protection Sverige,≤100
788657588008189,Moderaterna i Västerås,Moderata samlingspartiet i Västerås,≤100
111912817167925,Samtidigt i Sverige,Aktuellt i Politiken,≤100
117109165023455,Nordnet,Nordnet Bank AB,≤100
314872662206,Ekonomifakta,Ekonomifakta,≤100
114262485262083,Konsumentverket,Konsumentverket,≤100
293678655099,Europaparlamentets kontor i Sverige,Europaparlamentets kontor i Sverige,≤100
175843834306,WaterAid Sverige,WaterAid Sverige,≤100
236221570038,BRIS: Barnens Rätt I Samhället,BRIS: Barnens Rätt I Samhället,≤100
109969847586061,Morgon-Tidningen,AIP Media,≤100
128452220525979,CIVIL RIGHTS DEFENDERS,CIVIL RIGHTS DEFENDERS,≤100
153028052500,Kvinna till Kvinna,Stiftelsen Kvinna till Kvinna,≤100
276108117859,Svenska Afghanistankommittén,Svenska Afghanistankommittén,≤100
237146235237,Timbro,Tankesmedjan Timbro,≤100
181590825305317,COWI Sverige,COWI Sverige,≤100
42676805259,Diakonia,Diakonia,≤100
272041890388,Socialdemokraterna i Eskilstuna,Socialdemokraterna i Eskilstuna,≤100
249195615122371,Sara Skyttedal,Sara Skyttedal Dihang,≤100
103296115466644,Skattenytta,Kommissionen för Skattenytta,≤100
155824787799,EU-kommissionen i Sverige,EU-kommissionen i Sverige,≤100
