Page ID,Page name,Disclaimer,Amount spent (KES)
412238482219683,Kambaland,Kambaland,128
1793544260969494,Hon. Cecily Mbarire MGH,Hon. Cecily Mbarire MGH,101
123182861072147,Hon Musalia W Mudavadi,Michael Lulu Mudavadi,≤100
1400771023469241,Anne Waiguru,Gacigi Njagi Gacigi,≤100
112754900441156,DR. Kiarie Badilisha,Moses Ndirangu Badilisha Kiarie,≤100
101821255334402,HON. Machua Waithaka Kiambu MP,Tevin Muiruri,≤100
780365355477607,Kenya Muslim Youth Alliance,Kenya Muslim Youth Alliance,≤100
1506723769658512,Susan Kihika,Susan Kihika,≤100
109181011928509,Vivian Nwakaego Onuigbo,These ads ran without a disclaimer,≤100
100696586305964,Fine Art Photography Prints by Rico X.,These ads ran without a disclaimer,≤100
230834147675510,LabXchange,These ads ran without a disclaimer,≤100
