Page ID,Page name,Disclaimer,Amount spent (GBP)
100771226087265,Susie's Tips,Susie's Tips,1505
102639461303190,Fair Pay For All,Fair Pay For All,342
109602554296513,Your Funded Energy Solution,Huw John Llewellyn,341
101602743218479,Stop It Now! UK and Ireland,"Stop It Now! UK and Ireland, The Lucy Faithfull Foundation",323
311627208673,WWF UK,WWF UK,318
7214031395,Oxfam Great Britain,Oxfam Great Britain,264
66188945100,Ben & Jerry's,Ben & Jerry's,216
7715002593,UNICEF UK,Unicef UK,172
110861655604080,Friends of the Earth,Friends of the Earth (EWNI),139
348366988862054,Oxfam Campaigns,Oxfam Great Britain,127
102962406443212,WWF Cymru,WWF Cymru,126
9250349228,Greenpeace UK,Greenpeace UK,114
323967924444168,YesCymru,YesCymru,103
569834799727730,National Grid UK,National Grid UK,≤100
408582579294175,UK government,UK Government,≤100
210400546162648,Development Bank of Wales,Development Bank of Wales,≤100
55984857501,Open Doors UK & Ireland,Open Doors with Brother Andrew,≤100
18168505158,The Woodland Trust,Woodland Trust,≤100
107509044383300,Médecins Sans Frontières / Doctors Without Borders (MSF),Médecins Sans Frontières / Doctors Without Borders (MSF),≤100
490007667679401,Hugh James,Hugh James,≤100
30540151272,GAY TIMES,GAY TIMES,≤100
34044296391,Surfers Against Sewage,Surfers Against Sewage,≤100
401847960644025,Extinction Rebellion UK,Extinction Rebellion,≤100
601388547012748,Ecologi,Ecologi,≤100
35671512696,World Animal Protection UK,World Animal Protection UK,≤100
365948210785448,Criminal Injuries Helpline,Criminal Injuries Helpline,≤100
121936349543,World Vision UK,World Vision UK,≤100
7043497714,Christian Aid,Christian Aid,≤100
353224381469808,ifaw,IFAW,≤100
6233536938,War Child UK,War Child UK,≤100
143837658998810,WWT,Wildfowl and Wetlands Trust,≤100
40409120801,Refugee Council,Refugee Council,≤100
799576543492660,The Week Junior,The Week Junior,≤100
177855115588808,The Week UK,The Week UK,≤100
1660600037490738,Guardian Labs,Guardian Labs,≤100
358706239805,Scope,Scope,≤100
103273814470,SolarAid,SolarAid,≤100
7527864602,WaterAid UK,WaterAid UK,≤100
