Page ID,Page name,Disclaimer,Amount spent (BAM)
110367919014958,ERGO,These ads ran without a disclaimer,≤100
111544041335161,Antikorupcija info,Antikorupcija.info,≤100
197596636939679,tacno.net,Tacno.net,≤100
789735661383506,Fondacija Tadž - Stipendiranje budućih hafiza,Fondacija Tadž - Stipendiranje budućih hafiza,≤100
106937677998846,Pravo na lijek,Pravo na lijek,≤100
1922268018023038,Raskrinkavanje,UG Zašto ne,≤100
1894157260888813,Dr Vlado Đajić - Др Владо Ђајић,Vlado Đajić,≤100
1454304308161318,"Koalicija ""Pod lupom""","Koalicija ""Pod lupom""",≤100
111544041335161,Antikorupcija info,Antikorupcija info,≤100
110760128594320,Muhamed Hasanović,Muhamed Hasanovic,≤100
