Page ID,Page name,Disclaimer,Amount spent (BOB)
130336323685885,Gobernación de Santa Cruz,Gobernación de Santa Cruz,≤100
964080723662055,Carlos Subirana Responde,Editorial CSS,≤100
100421178670997,Grande mi Oruro,Coordenada Digital,≤100
279677395908479,Virginio Lema Trigo,Walter Agustin Zambrana Arze,≤100
106403237850347,Goberna Bolivia,Goberna,≤100
104257317751894,Santiago Condori Apaza,Sandro Iquise Vincenti,≤100
110594177449564,Guillermo Seoane - Senador,Luis Guillermo Seoane,≤100
111585510603603,Elena Pachacute - Diputada Nacional,María Elena Pachacute Ticona,≤100
101824857848955,Enrique Urquidi - Diputado,Enrique Fernando Urquidi Daza,≤100
391416088139258,Movimiento Pro-Pacha,Guillermo Mallea,≤100
103276561855899,El Diario Virtual,El Diario Virtual,≤100
113376820321312,Tierra Digna,Coordenada Digital,≤100
2328823850688165,José M. Ormachea,José M. Ormachea,≤100
102652851097134,Oscar Balderas Diputado,Oscar Alberto Balderas Montaño,≤100
636958269681223,Mauricio Lea Plaza P.,Mauricio Adolfo Lea Plaza Peláez,≤100
100912541413695,Más Impulso,These ads ran without a disclaimer,≤100
1473321922884514,Chińskie Radio Międzynarodowe,These ads ran without a disclaimer,≤100
