Page ID,Page name,Disclaimer,Amount spent (KES)
600979883334883,Hon. Zaheer Jhanda Mp Nyaribari Chache,Hon. Zaheer Jhanda Mp Nyaribari Chache,2152
123182861072147,Hon Musalia W Mudavadi,Michael Lulu Mudavadi,1306
100835685957727,PRO PEACE KENYA,Brenda Kananu,1162
686239924725032,Stand Up Shout Out,These ads ran without a disclaimer,491
131189377574,MDPI,These ads ran without a disclaimer,405
110408975208360,Talking about matters,Well Made Strategy LLP,203
102838882271105,NovelReader,These ads ran without a disclaimer,181
181477995294794,SYSPRO Global,These ads ran without a disclaimer,110
105833652399018,Maina Karobia,Mwangi Godfrey Maina,102
1692208237695305,Button Badges,George Kingori Warui,≤100
344924819231181,"Hon. Rahab Mukami, Nyeri County Women Rep",Rahab Mukami Wachira,≤100
100146899431342,Nairobi Leaks,Peris Wambui Mugi,≤100
693849871003458,KENYA HOT TODAY,Peris Wambui Mugi,≤100
246999515773477,Siasa Lab,Peris Wambui Mugi,≤100
344115315677504,This Is Laikipia,This Is Laikipia,≤100
100321965888531,Mrembo na Kazi,Samuel Mwangi,≤100
103408652150397,Hon. Mohamed Soud Machele,Ibrahim Aziz Omar,≤100
100241935070844,Busara Empowerment,These ads ran without a disclaimer,≤100
104961559198815,Riogi,These ads ran without a disclaimer,≤100
109274058228645,Denis Ole Matinkoe.,These ads ran without a disclaimer,≤100
105898939096628,Domani Media,These ads ran without a disclaimer,≤100
861734543866515,Teresa Galeano Psicóloga,These ads ran without a disclaimer,≤100
100311932929616,femhealth_ke,These ads ran without a disclaimer,≤100
117645434555342,Majio Dut Com,These ads ran without a disclaimer,≤100
106463548895074,pisces_dragon_22,These ads ran without a disclaimer,≤100
1056162421085650,Research Features,These ads ran without a disclaimer,≤100
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100
2420268291542853,China Resources Group,These ads ran without a disclaimer,≤100
107059821434486,Ruz.Hoff,These ads ran without a disclaimer,≤100
101054365776547,Charming Changzhou,These ads ran without a disclaimer,≤100
133945616646913,RioOnWatch.org,These ads ran without a disclaimer,≤100
273289456666905,CCECC,These ads ran without a disclaimer,≤100
332743056792820,Haniel Travel Solutions (Pty) Ltd,These ads ran without a disclaimer,≤100
318711818130,Boot Camp Digital,These ads ran without a disclaimer,≤100
157438094324143,The Nature Conservancy in Africa,These ads ran without a disclaimer,≤100
103304528083398,Resilience Food Stories,These ads ran without a disclaimer,≤100
162484593815230,DefeatDD,These ads ran without a disclaimer,≤100
103304472445184,Blushbridemda,These ads ran without a disclaimer,≤100
113940237050170,CCECC Nigeria,These ads ran without a disclaimer,≤100
101578564700517,VOA Africa,These ads ran without a disclaimer,≤100
