Location name,Amount spent (NGN)
Abia State,2400
Adamawa State,1155
Akwa Ibom State,1214
Anambra State,2166
Bauchi State,1041
Bayelsa State,1304
Benué State,779
Borno State,991
Cross River State,575
Delta State,5447
Ebonyi State,308
Edo State,3056
Ekiti State,446
Enugu State,907
Federal Capital Territory,6757
Gombe State,591
Imo State,5997
Jigawa State,281
Kaduna State,4111
Kano State,6685
Katsina State,853
Kebbi State,258
Kogi State,947
Kwara State,1451
Lagos State,19243
Nasarawa State,573
Niger State,1373
Ogun State,1057
Ondo State,943
Osun State,1159
Oyo State,7202
Plateau State,1604
Rivers State,4564
Sokoto State,805
Taraba State,735
Unknown,≤100
Yobe State,589
Zamfara State,365
