Location name,Amount spent (NGN)
Abia State,3620
Adamawa State,1806
Akwa Ibom State,6265
Anambra State,7721
Bauchi State,1682
Bayelsa State,643
Benué State,1740
Borno State,1606
Cross River State,2117
Delta State,9492
Ebonyi State,1104
Edo State,2290
Ekiti State,317
Enugu State,2483
Federal Capital Territory,19938
Gombe State,14533
Imo State,2384
Jigawa State,806
Kaduna State,6348
Kano State,10159
Katsina State,1687
Kebbi State,1680
Kogi State,1523
Kwara State,2564
Lagos State,109575
Nasarawa State,1484
Niger State,1628
Ogun State,2359
Ondo State,1025
Osun State,1103
Oyo State,3984
Plateau State,3938
Rivers State,24585
Sokoto State,1498
Taraba State,1102
Unknown,≤100
Yobe State,822
Zamfara State,471
