Location name,Amount spent (NGN)
Abia State,31770
Adamawa State,13777
Akwa Ibom State,17889
Anambra State,18147
Bauchi State,10916
Bayelsa State,4141
Benué State,13599
Borno State,12143
Cross River State,12014
Delta State,26700
Ebonyi State,4095
Edo State,18153
Ekiti State,3726
Enugu State,25513
Federal Capital Territory,47229
Gombe State,18454
Imo State,23077
Jigawa State,3273
Kaduna State,32911
Kano State,81375
Katsina State,10427
Kebbi State,2938
Kogi State,9395
Kwara State,10050
Lagos State,126854
Nasarawa State,7713
Niger State,12724
Ogun State,20960
Ondo State,7429
Osun State,7947
Oyo State,39546
Plateau State,56366
Rivers State,88429
Sokoto State,9311
Taraba State,6402
Unknown,≤100
Yobe State,4532
Zamfara State,4062
