Location name,Amount spent (NGN)
Abia State,2962
Adamawa State,1908
Akwa Ibom State,3251
Anambra State,2533
Bauchi State,1855
Bayelsa State,336
Benué State,1701
Borno State,1619
Cross River State,1167
Delta State,3611
Ebonyi State,511
Edo State,1727
Ekiti State,526
Enugu State,3317
Federal Capital Territory,14886
Gombe State,5882
Imo State,2466
Jigawa State,367
Kaduna State,7685
Kano State,13068
Katsina State,1814
Kebbi State,480
Kogi State,1836
Kwara State,1711
Lagos State,20480
Nasarawa State,1357
Niger State,2383
Ogun State,1283
Ondo State,841
Osun State,866
Oyo State,6057
Plateau State,3307
Rivers State,7642
Sokoto State,1280
Taraba State,1336
Unknown,≤100
Yobe State,879
Zamfara State,496
