Location name,Amount spent (NGN)
Abia State,4288
Adamawa State,1840
Akwa Ibom State,2509
Anambra State,5506
Bauchi State,2022
Bayelsa State,2185
Benué State,1924
Borno State,1801
Cross River State,813
Delta State,2704
Ebonyi State,849
Edo State,5271
Ekiti State,742
Enugu State,9033
Federal Capital Territory,15332
Gombe State,10633
Imo State,1541
Jigawa State,624
Kaduna State,8480
Kano State,13287
Katsina State,2824
Kebbi State,499
Kogi State,1420
Kwara State,2775
Lagos State,103297
Nasarawa State,1625
Niger State,3568
Ogun State,1925
Ondo State,1214
Osun State,2365
Oyo State,6063
Plateau State,2533
Rivers State,18919
Sokoto State,1545
Taraba State,851
Unknown,≤100
Yobe State,975
Zamfara State,824
