Page ID,Page name,Disclaimer,Amount spent (TND),Number of ads in Library
127187187348820,Kaspersky,These ads ran without a disclaimer,≤100,1
132534763533314,وزير امراض القلب و الشرايين,These ads ran without a disclaimer,≤100,2
413993792772175,حركة مستقلون فاعلون الصفحة الرسمية,Yassine Choura,≤100,1
100477638805419,الراجل الي قهرهم,These ads ran without a disclaimer,≤100,1
368119983327926,العربي الجديد,These ads ran without a disclaimer,≤100,1
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,1
194953000528458,Global Campus of Human Rights,These ads ran without a disclaimer,≤100,1
75608370019,United States Institute of Peace,These ads ran without a disclaimer,≤100,1
1495814750737759,مجلس علماء الرباط المحمدي,These ads ran without a disclaimer,≤100,1
100856989080533,Wayarc Daily,These ads ran without a disclaimer,≤100,1
223495844457800,China Plus Culture,These ads ran without a disclaimer,≤100,1
101326998419906,صوتك مهم,These ads ran without a disclaimer,≤100,3
111361091313,NICABM,These ads ran without a disclaimer,≤100,10
