Location name,Amount spent (NGN)
Abia State,3417
Adamawa State,571
Akwa Ibom State,1685
Anambra State,877
Bauchi State,671
Bayelsa State,841
Benué State,1065
Borno State,373
Cross River State,1187
Delta State,2268
Ebonyi State,458
Edo State,778
Ekiti State,125
Enugu State,853
Federal Capital Territory,8190
Gombe State,206
Imo State,463
Jigawa State,213
Kaduna State,1565
Kano State,3466
Katsina State,558
Kebbi State,162
Kogi State,135
Kwara State,461
Lagos State,13225
Nasarawa State,317
Niger State,732
Ogun State,421
Ondo State,340
Osun State,342
Oyo State,2853
Plateau State,479
Rivers State,6494
Sokoto State,327
Taraba State,283
Unknown,≤100
Yobe State,392
Zamfara State,221
