Location name,Amount spent (NGN)
Abia State,860
Adamawa State,307
Akwa Ibom State,2159
Anambra State,1346
Bauchi State,1078
Bayelsa State,192
Benué State,1893
Borno State,317
Cross River State,731
Delta State,3502
Ebonyi State,160
Edo State,855
Ekiti State,152
Enugu State,470
Federal Capital Territory,4317
Gombe State,150
Imo State,373
Jigawa State,≤100
Kaduna State,1735
Kano State,3138
Katsina State,195
Kebbi State,≤100
Kogi State,316
Kwara State,817
Lagos State,14042
Nasarawa State,177
Niger State,638
Ogun State,672
Ondo State,578
Osun State,627
Oyo State,3587
Plateau State,1244
Rivers State,1997
Sokoto State,1654
Taraba State,186
Unknown,≤100
Yobe State,150
Zamfara State,673
