Location name,Amount spent (NGN)
Abia State,921
Adamawa State,861
Akwa Ibom State,1003
Anambra State,2857
Bauchi State,1266
Bayelsa State,914
Benué State,1241
Borno State,954
Cross River State,667
Delta State,1969
Ebonyi State,194
Edo State,2780
Ekiti State,233
Enugu State,422
Federal Capital Territory,4882
Gombe State,2631
Imo State,369
Jigawa State,310
Kaduna State,2710
Kano State,4728
Katsina State,949
Kebbi State,331
Kogi State,408
Kwara State,1157
Lagos State,13392
Nasarawa State,492
Niger State,1107
Ogun State,768
Ondo State,522
Osun State,841
Oyo State,4621
Plateau State,1240
Rivers State,2148
Sokoto State,710
Taraba State,1490
Unknown,≤100
Yobe State,612
Zamfara State,421
