Page ID,Page name,Disclaimer,Amount spent (VEF),Number of ads in Library
11449543593,Carlos Ocariz,an advertiser in Venezuela,12629930,10
106297255064534,Julio Fuenmayor,an advertiser in Venezuela,5000000,2
102909028767557,Nabil Maalouf,an advertiser in Venezuela,2750000,1
559836910796201,Alcaldía de Valencia,an advertiser in Venezuela,1250000,1
108562965017764,vaccottifer,These ads ran without a disclaimer,624039,1
130136833750497,IELTS Official,These ads ran without a disclaimer,284998,1
1573569742675365,Voltalia,These ads ran without a disclaimer,179382,1
358442097543367,Materia,These ads ran without a disclaimer,16558,1
117039841320523,Big Pink Youth Dialogue,These ads ran without a disclaimer,≤100,1
1883003128429295,Queer Majority,These ads ran without a disclaimer,≤100,1
105494315161744,talkdiplomacy,These ads ran without a disclaimer,≤100,1
161666143844859,Sandvik,These ads ran without a disclaimer,≤100,1
663552807155256,Orlando Tito Moya,These ads ran without a disclaimer,≤100,1
120223804387904,dailypositivityboost,These ads ran without a disclaimer,≤100,1
152914224736727,Banco Mundial,These ads ran without a disclaimer,≤100,2
188872144758,CCTV,These ads ran without a disclaimer,≤100,1
665908820279437,Manuel García,These ads ran without a disclaimer,≤100,1
