Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,353
Bangkok,9331
Bueng Kan,104
Buriram,433
Chachoengsao,362
Chai Nat,106
Chaiyaphum,309
Chanthaburi,232
Chiang Mai,1101
Chiang Rai,430
Chon Buri,1154
Chumphon,280
Kalasin,244
Kamphaeng Phet,803
Kanchanaburi,426
Khon Kaen,788
Krabi,280
Lampang,270
Lamphun,161
Loei,190
Lop Buri,247
Mae Hong Son,≤100
Maha Sarakham,287
Mukdahan,112
Nakhon Nayok,≤100
Nakhon Pathom,326
Nakhon Phanom,201
Nakhon Ratchasima,1020
Nakhon Sawan,312
Nakhon Si Thammarat,779
Nan,161
Narathiwat,242
Nong Bua Lam Phu,145
Nong Khai,159
Nonthaburi,764
Pathum Thani,502
Pattani,316
Phangnga,156
Phatthalung,411
Phayao,150
Phetchabun,263
Phetchaburi,257
Phichit,172
Phitsanulok,333
Phrae,153
Phuket,300
Prachin Buri,247
Prachuap Khiri Khan,290
Ranong,120
Ratchaburi,409
Rayong,507
Roi Et,342
Sa Kaeo,319
Sakon Nakhon,292
Samut Prakan,361
Samut Sakhon,2549
Samut Songkhram,≤100
Saraburi,296
Satun,137
Sing Buri,≤100
Sisaket,529
Songkhla,1031
Sukhothai,220
Suphan Buri,270
Surat Thani,705
Surin,425
Tak,217
Trang,283
Trat,≤100
Ubon Ratchathani,566
Udon Thani,459
Unknown,≤100
Uthai Thani,≤100
Uttaradit,147
Yala Province,276
Yasothon,151
