Location name,Amount spent (NGN)
Abia State,22045
Adamawa State,8940
Akwa Ibom State,17746
Anambra State,11719
Bauchi State,7287
Bayelsa State,2176
Benué State,6725
Borno State,10167
Cross River State,5144
Delta State,12805
Ebonyi State,3824
Edo State,17748
Ekiti State,3977
Enugu State,12596
Federal Capital Territory,40068
Gombe State,4301
Imo State,7419
Jigawa State,3139
Kaduna State,26458
Kano State,90417
Katsina State,8208
Kebbi State,2669
Kogi State,6015
Kwara State,18640
Lagos State,163121
Nasarawa State,6376
Niger State,5833
Ogun State,25378
Ondo State,6905
Osun State,10866
Oyo State,42866
Plateau State,11979
Rivers State,39130
Sokoto State,7263
Taraba State,3744
Unknown,890
Yobe State,2352
Zamfara State,1952
