Location name,Amount spent (NGN)
Abia State,1226
Adamawa State,1258
Akwa Ibom State,900
Anambra State,2221
Bauchi State,1391
Bayelsa State,884
Benué State,555
Borno State,1944
Cross River State,495
Delta State,1204
Ebonyi State,206
Edo State,3423
Ekiti State,297
Enugu State,506
Federal Capital Territory,6151
Gombe State,2549
Imo State,377
Jigawa State,352
Kaduna State,3169
Kano State,5344
Katsina State,1141
Kebbi State,334
Kogi State,534
Kwara State,1450
Lagos State,18317
Nasarawa State,633
Niger State,1291
Ogun State,954
Ondo State,729
Osun State,1036
Oyo State,5795
Plateau State,1422
Rivers State,5792
Sokoto State,1127
Taraba State,1629
Unknown,≤100
Yobe State,788
Zamfara State,511
