Location name,Amount spent (NGN)
Abia State,818
Adamawa State,443
Akwa Ibom State,2277
Anambra State,1145
Bauchi State,426
Bayelsa State,991
Benué State,769
Borno State,266
Cross River State,1395
Delta State,13535
Ebonyi State,588
Edo State,1192
Ekiti State,179
Enugu State,766
Federal Capital Territory,3346
Gombe State,2703
Imo State,387
Jigawa State,≤100
Kaduna State,1101
Kano State,1744
Katsina State,213
Kebbi State,123
Kogi State,169
Kwara State,477
Lagos State,13291
Nasarawa State,259
Niger State,326
Ogun State,1312
Ondo State,416
Osun State,388
Oyo State,3512
Plateau State,484
Rivers State,8421
Sokoto State,246
Taraba State,1463
Unknown,≤100
Yobe State,205
Zamfara State,137
