Location name,Amount spent (NGN)
Abia State,6395
Adamawa State,1504
Akwa Ibom State,3736
Anambra State,6022
Bauchi State,2153
Bayelsa State,218
Benué State,1316
Borno State,1860
Cross River State,944
Delta State,3780
Ebonyi State,574
Edo State,1897
Ekiti State,472
Enugu State,2395
Federal Capital Territory,17002
Gombe State,4931
Imo State,1109
Jigawa State,790
Kaduna State,6069
Kano State,8382
Katsina State,1527
Kebbi State,590
Kogi State,1294
Kwara State,5148
Lagos State,38066
Nasarawa State,1394
Niger State,1672
Ogun State,954
Ondo State,820
Osun State,1357
Oyo State,6360
Plateau State,1871
Rivers State,7318
Sokoto State,2118
Taraba State,920
Unknown,≤100
Yobe State,842
Zamfara State,722
