Location name,Amount spent (NGN)
Abia State,7637
Adamawa State,3149
Akwa Ibom State,3316
Anambra State,8522
Bauchi State,2592
Bayelsa State,622
Benué State,2860
Borno State,2890
Cross River State,1208
Delta State,7206
Ebonyi State,1464
Edo State,8383
Ekiti State,1217
Enugu State,11309
Federal Capital Territory,42205
Gombe State,15033
Imo State,3861
Jigawa State,1226
Kaduna State,12737
Kano State,18396
Katsina State,3281
Kebbi State,981
Kogi State,2611
Kwara State,4229
Lagos State,150133
Nasarawa State,3308
Niger State,3495
Ogun State,3846
Ondo State,2478
Osun State,3568
Oyo State,10698
Plateau State,2933
Rivers State,24103
Sokoto State,2715
Taraba State,1231
Unknown,≤100
Yobe State,1052
Zamfara State,1120
