Page ID,Page name,Disclaimer,Amount spent (ILS),Number of ads in Library
104743111658191,Ron Ben Shushan,רון בן שושן,29302,5
106136394376777,Idan Yakov,Rama Yarimi,26091,154
604890186681585,מור ויצמן,Mor Weitzman,5395,21
103907495935157,צו חירום,צו חירום,4456,33
103851839280828,חופשי בארצנו - מטה המאבק,מטה המאבק - נלחמים על הדמוקרטיה,2952,11
849824028408565,תנועת אם תרצו,תנועת אם תרצו,2196,16
116563891775107,עיריית פתח תקווה,עיריית פתח תקוה,2162,61
210968782252395,פתחון לב,פתחון לב,1946,73
190032861033009,השומר החדש,השומר החדש,1619,5
325048350950892,רמי גרינברג,עיריית פתח תקוה,1273,40
203379449685023,לוחמים לשלום,לוחמים לשלום,1257,6
814204852123809,"תורת לחימה - למען צה""ל",תורת לחימה,1148,3
428948830813584,"מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן","מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן",1001,42
655073717925481,קרן ברל כצנלסון,קרן ברל כצנלסון,991,14
107836625941364,Yair Lapid - יאיר לפיד,מפלגת יש עתיד,884,7
1432282697015880,הסתדרות הפועל המזרחי,הסתדרות הפועל המזרחי,864,6
124395890927240,הקרן החדשה לישראל,הקרן החדשה לישראל,796,42
263132347056967,BINA: The Jewish Movement for Social Change,Yishay Sayag,781,4
1099335593559205,כנס החירות FreedomCon,THE OBJECTIVIST FREEDOM CENTER LTD. (CC),733,18
109970322392972,מפלגת הליכוד,מפלגת הליכוד,690,1
172654247853282,Shenhav musanbar,Shenhav Musanbar,665,7
268108602075,Benjamin Netanyahu - בנימין נתניהו,מפלגת הליכוד,654,1
204780362875106,מקור ראשון,מקור ראשון,651,105
119995701391029,בית בן-גוריון בתל אביב,בית בן גוריון,639,4
132107110817900,"מרכז הנדל""ן","מרכז הנדל""ן",619,4
199381213757428,שי קינן - shai keinan,שי קינן - shai keinan,556,2
279345532129864,ההסתדרות הציונית העולמית,ההסתדרות הציונית העולמית,541,8
178433145502975,Avigdor Liberman - אביגדור ליברמן,ישראל ביתנו,533,8
1297864346957853,האחים שלנו,האחים שלנו,482,9
137449656335533,Amnesty International Israel,Amnesty International Israel,465,19
115028251920872,זהבה גלאון Zehava Galon,צו חירום,453,16
103851895179872,אמהות לביאות,Nataly Milner,448,3
102548956115520,תקומה 23 - להיות עם יהודי בארצנו,תורת לחימה,445,7
219091481560790,מרים פיירברג - איכר,נתניה אחת,440,2
444832565529651,המכון הישראלי לדמוקרטיה,המכון הישראלי לדמוקרטיה,437,43
305986442906304,סלע מאיר הוצאה לאור,סלע מאיר דיגיטל,412,5
104222621115858,הביטחוניסטים,הביטחוניסטים,387,8
111177802287614,Begin Center | מרכז מורשת מנחם בגין,Begin Center | מרכז מורשת מנחם בגין,380,9
